,0.05,0.15,0.25,0.5,0.75
2023-10-14,1.0,1.0,1.0,1.0,1.0
2023-10-21,0.5976331360946746,0.6701030927835051,0.6042780748663101,0.8782608695652174,0.8982891961565502
2023-10-28,0.44385026737967914,0.559191530317613,0.5228426395939086,0.7402513696422817,0.8092472637927184
2023-11-04,0.38107416879795397,0.5182755388940956,0.48433205057724027,0.6265060240963856,0.7307692307692307
2023-11-11,0.3235294117647059,0.47005444646098005,0.4594594594594595,0.5450643776824035,0.7267107226604136
2023-11-18,0.2471131639722864,0.3929492691315563,0.40992167101827676,0.49625935162094764,0.7139229792636479
2023-11-25,0.22171945701357465,0.3488759367194005,0.36570561456752654,0.48514851485148514,0.6906700062617408
2023-12-02,0.18421052631578946,0.32137030995106036,0.32093933463796476,0.48760330578512395,0.6646115906288532
2023-12-09,0.16129032258064516,0.27058823529411763,0.2980769230769231,0.48883374689826303,0.6480162767039674
2023-12-16,0.15879828326180256,0.25386996904024767,0.27238454288407166,0.48148148148148145,0.6380182002022244
2023-12-23,0.1440677966101695,0.22634367903103708,0.2581547064305685,0.47058823529411764,0.6390125455281263
2023-12-30,0.12734864300626306,0.2143928035982009,0.24826629680998613,0.46301815226225956,0.6450040617384241
2024-01-06,0.10655737704918032,0.21166791323859388,0.24252185918085595,0.4523937600860678,0.6557645134914145
2024-01-13,0.10655737704918032,0.17136659436008678,0.22171945701357465,0.44655772836860436,0.6594960049170252
2024-01-20,0.11801242236024845,0.14487632508833923,0.19680851063829788,0.44307856761090325,0.6646115906288532
2024-01-27,0.09533468559837728,0.17052023121387283,0.2200632625395391,0.461038961038961,0.6625615763546798
2024-02-03,0.07142857142857142,0.17732558139534885,0.2540640966093823,0.47662018047579985,0.6523867809057528
2024-02-10,0.0546875,0.16630669546436286,0.2511584800741427,0.49708899362350983,0.6383495145631068
2024-02-17,0.04448742746615087,0.15384615384615385,0.2529002320185615,0.512181461775413,0.6193522590963615
2024-02-24,0.04448742746615087,0.1481218993621545,0.2563983248022336,0.5151515151515151,0.6004742145820984
2024-03-02,0.032504780114722756,0.14245416078984485,0.2373968835930339,0.49377593360995853,0.5873015873015873
2024-03-09,0.04046242774566474,0.15056818181818182,0.226715129486597,0.4737991266375546,0.5976331360946746
2024-03-16,0.04046242774566474,0.16129032258064516,0.21021963245181532,0.43923240938166314,0.5979483132767804
2024-03-23,0.04046242774566474,0.1579699785561115,0.2026726057906459,0.42030510257759074,0.5957446808510638
2024-03-30,0.05675146771037182,0.16295764536970567,0.1989342806394316,0.4044213263979194,0.6023738872403561
2024-04-06,0.06930693069306931,0.15056818181818182,0.19469026548672566,0.3953488372093023,0.6093781045102324
2024-04-13,0.06719367588932806,0.1320754716981132,0.17391304347826086,0.3793103448275862,0.6119402985074627
2024-04-20,0.0650887573964497,0.11034955448937629,0.16479723899913717,0.3709063214013709,0.6116195781933943
2024-04-27,0.0650887573964497,0.11493461803165864,0.17852466171977302,0.36329209795506184,0.6081000595592615
2024-05-04,0.060903732809430254,0.10807113543091655,0.17391304347826086,0.36674259681093396,0.6030081139916881
