"","quantile","value","horizon"
"1",0.01,25.3,22
"2",0.025,25.54,22
"3",0.05,30.5,22
"4",0.1,33.7,22
"5",0.15,46.075,22
"6",0.2,80.8577082515247,22
"7",0.25,163.720183227825,22
"8",0.3,187.567674392966,22
"9",0.35,200.935226871547,22
"10",0.4,207.985726213124,22
"11",0.45,220.083336832724,22
"12",0.5,237.36224486243,22
"13",0.55,247.823047430912,22
"14",0.6,257.223106962061,22
"15",0.65,272.985345014973,22
"16",0.7,289.27648296206,22
"17",0.75,308.81396150831,22
"18",0.8,334.055877293369,22
"19",0.85,393.773841829105,22
"20",0.9,439.071388624879,22
"21",0.95,460.991711138554,22
"22",0.975,478.126162257392,22
"23",0.99,484.596323150099,22
"24",0.01,22.545,23
"25",0.025,22.695,23
"26",0.05,29.2,23
"27",0.1,31,23
"28",0.15,44.275,23
"29",0.2,65.9572207719477,23
"30",0.25,151.856216540557,23
"31",0.3,176.672124075761,23
"32",0.35,200.599708420026,23
"33",0.4,213.806101989355,23
"34",0.45,226.621466518297,23
"35",0.5,235.407933955121,23
"36",0.55,250.468187024124,23
"37",0.6,266.588295528617,23
"38",0.65,283.001907401621,23
"39",0.7,297.932454206899,23
"40",0.75,315.518499308834,23
"41",0.8,338.73774417162,23
"42",0.85,373.707284392615,23
"43",0.9,397.350752683625,23
"44",0.95,428.194040424733,23
"45",0.975,434.64431073399,23
"46",0.99,445.832154544227,23
"47",0.01,19.7,24
"48",0.025,19.795,24
"49",0.05,27.4,24
"50",0.1,27.95,24
"51",0.15,41.675,24
"52",0.2,53.9664853732415,24
"53",0.25,123.771475589388,24
"54",0.3,161.371718350924,24
"55",0.35,181.561877728744,24
"56",0.4,202.322720024923,24
"57",0.45,226.648474435568,24
"58",0.5,244.090330011837,24
"59",0.55,256.058703552282,24
"60",0.6,268.281001337123,24
"61",0.65,284.394007980471,24
"62",0.7,303.378915701435,24
"63",0.75,324.545532483647,24
"64",0.8,341.041651616909,24
"65",0.85,358.389243576762,24
"66",0.9,381.271740453781,24
"67",0.95,393.596059658004,24
"68",0.975,425.815943979866,24
"69",0.99,443.7123,24
"70",0.01,16.7,25
"71",0.025,16.795,25
"72",0.05,24.5,25
"73",0.1,25.3,25
"74",0.15,38.375,25
"75",0.2,44.6707784005681,25
"76",0.25,95.0451499757893,25
"77",0.3,129.414351935156,25
"78",0.35,149.344290472129,25
"79",0.4,174.952600595246,25
"80",0.45,203.152208550036,25
"81",0.5,220.239387949645,25
"82",0.55,246.098007693174,25
"83",0.6,272.361127115668,25
"84",0.65,283.131646742453,25
"85",0.7,291.928487800667,25
"86",0.75,299.970497311229,25
"87",0.8,319.207849807754,25
"88",0.85,332.242190635563,25
"89",0.9,341.949296413827,25
"90",0.95,365.24831319939,25
"91",0.975,386.57433165838,25
"92",0.99,402.656058934208,25
"93",0.01,14,26
"94",0.025,14.095,26
"95",0.05,21.2,26
"96",0.1,22.4,26
"97",0.15,34.7,26
"98",0.2,36.9604594860583,26
"99",0.25,74.5186361519566,26
"100",0.3,102.956755541654,26
"101",0.35,117.382219291067,26
"102",0.4,147.693421002303,26
"103",0.45,174.940585619311,26
"104",0.5,194.147980744398,26
"105",0.55,214.254522688857,26
"106",0.6,233.187889144438,26
"107",0.65,245.337044951129,26
"108",0.7,263.242230398971,26
"109",0.75,282.140897636719,26
"110",0.8,293.898804564953,26
"111",0.85,302.558709778542,26
"112",0.9,327.629652301637,26
"113",0.95,355.112073847902,26
"114",0.975,371.772,26
"115",0.99,385.204,26
"116",0.01,11.8,27
"117",0.025,11.85,27
"118",0.05,17.5666666666667,27
"119",0.1,19.9,27
"120",0.15,27.3312818777162,27
"121",0.2,32.8474852117274,27
"122",0.25,59.4914380763343,27
"123",0.3,79.1656976189864,27
"124",0.35,93.8827445672277,27
"125",0.4,130.906220390798,27
"126",0.45,148.950022665491,27
"127",0.5,163.075701353236,27
"128",0.55,176.117993886747,27
"129",0.6,194.216345780163,27
"130",0.65,208.630112876465,27
"131",0.7,232.271572773418,27
"132",0.75,247.317401809544,27
"133",0.8,265.644009834895,27
"134",0.85,278.943488018152,27
"135",0.9,300.38,27
"136",0.95,341.78,27
"137",0.975,368.989,27
"138",0.99,413.034,27
"139",0.01,9.978,28
"140",0.025,9.9945,28
"141",0.05,15.2333333333333,28
"142",0.1,17.75,28
"143",0.15,25.8813965749351,28
"144",0.2,29.6707632104165,28
"145",0.25,44.7212008912197,28
"146",0.3,59.8813062995779,28
"147",0.35,70.3983206951125,28
"148",0.4,101.463894026501,28
"149",0.45,130.206629689914,28
"150",0.5,143.675533837248,28
"151",0.55,155.076705421871,28
"152",0.6,160.035024150012,28
"153",0.65,172.194827558418,28
"154",0.7,194.165449431587,28
"155",0.75,213.425391804289,28
"156",0.8,250.751033962264,28
"157",0.85,279.45,28
"158",0.9,295.32,28
"159",0.95,330.05,28
"160",0.975,340.308,28
"161",0.99,357.466,28
"162",0.01,7.8,29
"163",0.025,7.85,29
"164",0.05,12.3533333333333,29
"165",0.1,14.5734252900203,29
"166",0.15,20.2060689481385,29
"167",0.2,24.9327991870165,29
"168",0.25,33.2166548844671,29
"169",0.3,43.7176875876431,29
"170",0.35,52.1245953236811,29
"171",0.4,77.8231200723556,29
"172",0.45,103.346093093392,29
"173",0.5,118.372646462581,29
"174",0.55,128.351374943172,29
"175",0.6,135.086712572839,29
"176",0.65,148.165727104834,29
"177",0.7,156.389332020787,29
"178",0.75,164.164031217937,29
"179",0.8,233.71388,29
"180",0.85,253,29
"181",0.9,279.22,29
"182",0.95,299.92,29
"183",0.975,322.851,29
"184",0.99,336.306,29
"185",0.01,5.5,30
"186",0.025,5.5,30
"187",0.05,8.88,30
"188",0.1,10.6978964649167,30
"189",0.15,15.8581618959383,30
"190",0.2,18.6733105476857,30
"191",0.25,24.7272991843829,30
"192",0.3,32.8245807412116,30
"193",0.35,40.0485625602445,30
