"","quantile","value","horizon"
"1",0.01,0,24
"2",0.025,0,24
"3",0.05,0,24
"4",0.1,16.42,24
"5",0.15,22.6,24
"6",0.2,29.6,24
"7",0.25,41.925,24
"8",0.3,45.37,24
"9",0.35,52.2,24
"10",0.4,62.9000000000001,24
"11",0.45,71.005,24
"12",0.5,85.6,24
"13",0.55,96.9,24
"14",0.6,109.86,24
"15",0.65,124.3,24
"16",0.7,142.08,24
"17",0.75,163.275,24
"18",0.8,188.06,24
"19",0.85,206.195,24
"20",0.9,311.75,24
"21",0.95,365.055,24
"22",0.975,384.1,24
"23",0.99,408.361,24
"24",0.01,0,25
"25",0.025,0,25
"26",0.05,0,25
"27",0.1,9.38000000000002,25
"28",0.15,18.3,25
"29",0.2,26.36,25
"30",0.25,31.9,25
"31",0.3,37.23,25
"32",0.35,45.315,25
"33",0.4,53.4400000000001,25
"34",0.45,65,25
"35",0.5,72.65,25
"36",0.55,80.995,25
"37",0.6,102.3,25
"38",0.65,118.7,25
"39",0.7,132.6,25
"40",0.75,175.975,25
"41",0.8,213.3,25
"42",0.85,236.485,25
"43",0.9,285.54,25
"44",0.95,343.685,25
"45",0.975,427.2,25
"46",0.99,444.21,25
"47",0.01,0,26
"48",0.025,0,26
"49",0.05,0,26
"50",0.1,4.99000000000001,26
"51",0.15,11.2,26
"52",0.2,19.04,26
"53",0.25,26.125,26
"54",0.3,30.04,26
"55",0.35,43.9,26
"56",0.4,48.56,26
"57",0.45,54.805,26
"58",0.5,66.45,26
"59",0.55,79.9,26
"60",0.6,93.7999999999999,26
"61",0.65,132.085,26
"62",0.7,154.45,26
"63",0.75,177.575,26
"64",0.8,215.42,26
"65",0.85,229.79,26
"66",0.9,300.4,26
"67",0.95,365.785,26
"68",0.975,462.5,26
"69",0.99,474.11,26
"70",0.01,0,27
"71",0.025,0,27
"72",0.05,0,27
"73",0.1,2.69000000000001,27
"74",0.15,6.9,27
"75",0.2,11.8,27
"76",0.25,16.5,27
"77",0.3,27.79,27
"78",0.35,33.9,27
"79",0.4,44.3,27
"80",0.45,55.605,27
"81",0.5,62.1,27
"82",0.55,76.295,27
"83",0.6,101.86,27
"84",0.65,118.785,27
"85",0.7,152.09,27
"86",0.75,183.925,27
"87",0.8,220.38,27
"88",0.85,269.455,27
"89",0.9,316.12,27
"90",0.95,384.775,27
"91",0.975,496.7775,27
"92",0.99,504.659,27
"93",0.01,0,28
"94",0.025,0,28
"95",0.05,0,28
"96",0.1,1.53,28
"97",0.15,4.3,28
"98",0.2,7.3,28
"99",0.25,10.1,28
"100",0.3,23.21,28
"101",0.35,36,28
"102",0.4,38.76,28
"103",0.45,55.7,28
"104",0.5,67.7,28
"105",0.55,78.995,28
"106",0.6,88.54,28
"107",0.65,129.185,28
"108",0.7,174.53,28
"109",0.75,203.625,28
"110",0.8,254.22,28
"111",0.85,308.22,28
"112",0.9,371.91,28
"113",0.95,398.075,28
"114",0.975,523.3,28
"115",0.99,528.708,28
"116",0.01,0,29
"117",0.025,0,29
"118",0.05,0,29
"119",0.1,0.770000000000002,29
"120",0.15,2.6,29
"121",0.2,4.2,29
"122",0.25,6.4,29
"123",0.3,15.81,29
"124",0.35,25.3,29
"125",0.4,41.74,29
"126",0.45,52,29
"127",0.5,65.3,29
"128",0.55,76,29
"129",0.6,93.38,29
"130",0.65,136.7,29
"131",0.7,182.2,29
"132",0.75,203.95,29
"133",0.8,280.42,29
"134",0.85,283.225,29
"135",0.9,365.92,29
"136",0.95,427.06,29
"137",0.975,501.1,29
"138",0.99,504.555,29
"139",0.01,0,30
"140",0.025,0,30
"141",0.05,0,30
"142",0.1,0.380000000000001,30
"143",0.15,1.4,30
"144",0.2,2.54,30
"145",0.25,4,30
"146",0.3,10.74,30
"147",0.35,16.9,30
"148",0.4,37.82,30
"149",0.45,56.505,30
"150",0.5,61.1,30
"151",0.55,77.395,30
"152",0.6,99.52,30
"153",0.65,135.3,30
"154",0.7,137,30
"155",0.75,189.675,30
"156",0.8,217.92,30
"157",0.85,291.1,30
"158",0.9,362.91,30
"159",0.95,412.455,30
"160",0.975,459.755,30
"161",0.99,483.461,30
"162",0.01,0,31
"163",0.025,0,31
"164",0.05,0,31
"165",0.1,0.190000000000001,31
"166",0.15,0.7,31
"167",0.2,1.60000000000001,31
"168",0.25,2.4,31
"169",0.3,7.44,31
"170",0.35,11.6,31
"171",0.4,42.48,31
"172",0.45,50.7,31
"173",0.5,66.75,31
"174",0.55,78,31
"175",0.6,95.3,31
"176",0.65,102.3,31
"177",0.7,124.94,31
"178",0.75,159.5,31
"179",0.8,218.14,31
"180",0.85,220.795,31
"181",0.9,321.4,31
"182",0.95,387.14,31
"183",0.975,497.955,31
"184",0.99,514.861,31
"185",0.01,0,32
"186",0.025,0,32
"187",0.05,0,32
"188",0.1,0.1,32
"189",0.15,0.5,32
"190",0.2,1.04,32
"191",0.25,1.5,32
"192",0.3,5.17,32
"193",0.35,8.1,32
"194",0.4,47.84,32
"195",0.45,55.2,32
"196",0.5,73.1,32
"197",0.55,80.5,32
"198",0.6,98.9599999999998,32
"199",0.65,116.785,32
"200",0.7,139.6,32
"201",0.75,160.275,32
"202",0.8,197.5,32
"203",0.85,218.03,32
"204",0.9,312.86,32
"205",0.95,400.875,32
"206",0.975,528.255,32
"207",0.99,537.059,32
"208",0.01,0,33
"209",0.025,0,33
"210",0.05,0,33
"211",0.1,0.0900000000000006,33
"212",0.15,0.3,33
"213",0.2,0.660000000000002,33
"214",0.25,1,33
"215",0.3,3.47,33
"216",0.35,5.4,33
"217",0.4,50.28,33
"218",0.45,60.505,33
"219",0.5,71.2,33
"220",0.55,84.2,33
"221",0.6,106.6,33
"222",0.65,127.4,33
"223",0.7,138.36,33
"224",0.75,181.3,33
"225",0.8,185.66,33
"226",0.85,245.53,33
"227",0.9,291.7,33
"228",0.95,374.62,33
"229",0.975,507.91,33
"230",0.99,510.559,33
