"","quantile","value","horizon"
"1",0.01,0,37
"2",0.025,0,37
"3",0.05,0.00871890137883162,37
"4",0.1,0.618587713681801,37
"5",0.15,1.57063541024059,37
"6",0.2,2.3790028374544,37
"7",0.25,3.15408753229946,37
"8",0.3,3.89673202614379,37
"9",0.35,4.6852155041867,37
"10",0.4,5.37593333114819,37
"11",0.45,6.16082653470643,37
"12",0.5,7.35151300790065,37
"13",0.55,8.83742107937657,37
"14",0.6,10.7450375479285,37
"15",0.65,13.0082484191872,37
"16",0.7,15.6810444326158,37
"17",0.75,20.2192964570503,37
"18",0.8,26.7636822989469,37
"19",0.85,52.6241688560774,37
"20",0.9,79.9362544872417,37
"21",0.95,101.235479491903,37
"22",0.975,113.21,37
"23",0.99,122.707,37
"24",0.01,0,38
"25",0.025,0,38
"26",0.05,0,38
"27",0.1,0.316153753109607,38
"28",0.15,0.98165137614679,38
"29",0.2,1.83614190687362,38
"30",0.25,2.1216814159292,38
"31",0.3,2.85413713066934,38
"32",0.35,3.63563699450896,38
"33",0.4,4.20796082227664,38
"34",0.45,4.87712344744327,38
"35",0.5,5.65612654078581,38
"36",0.55,6.71665050921775,38
"37",0.6,8.36961614752481,38
"38",0.65,10.3138453711191,38
"39",0.7,12.7985471959121,38
"40",0.75,16.0244593746503,38
"41",0.8,20.584935096507,38
"42",0.85,37.455311076544,38
"43",0.9,71.61,38
"44",0.95,88.335,38
"45",0.975,101.245,38
"46",0.99,109.97,38
