"","quantile","value","horizon"
"1",0.01,12.8,22
"2",0.025,18.1,22
"3",0.05,23.9,22
"4",0.1,48.9,22
"5",0.15,53,22
"6",0.2,57.86,22
"7",0.25,76.3,22
"8",0.3,85.01,22
"9",0.35,91.8,22
"10",0.4,109.84,22
"11",0.45,143.4,22
"12",0.5,169.2,22
"13",0.55,190.9,22
"14",0.6,198.3,22
"15",0.65,215.7,22
"16",0.7,269.549999999999,22
"17",0.75,302.1,22
"18",0.8,340.26,22
"19",0.85,371.4,22
"20",0.9,443.66,22
"21",0.95,565.7,22
"22",0.975,1073.15499999999,22
"23",0.99,1300.3,22
"24",0.01,6.4,23
"25",0.025,9,23
"26",0.05,13.2,23
"27",0.1,30.8,23
"28",0.15,47.1,23
"29",0.2,58.84,23
"30",0.25,74.5,23
"31",0.3,89.75,23
"32",0.35,95.8,23
"33",0.4,111.6,23
"34",0.45,136.2,23
"35",0.5,182.05,23
"36",0.55,214.9,23
"37",0.6,240.6,23
"38",0.65,257.7,23
"39",0.7,283.65,23
"40",0.75,321.1,23
"41",0.8,398.52,23
"42",0.85,458.7,23
"43",0.9,534.72,23
"44",0.95,613,23
"45",0.975,987.882499999996,23
"46",0.99,1178,23
"47",0.01,3.4,24
"48",0.025,4.6,24
"49",0.05,8.1,24
"50",0.1,26.9,24
"51",0.15,34.2,24
"52",0.2,39.3,24
"53",0.25,47.8,24
"54",0.3,96.58,24
"55",0.35,134.9,24
"56",0.4,143.96,24
"57",0.45,150.9,24
"58",0.5,167.1,24
"59",0.55,219,24
"60",0.6,262.94,24
"61",0.65,288.5,24
"62",0.7,309.25,24
"63",0.75,368.3,24
"64",0.8,458.38,24
"65",0.85,540.4,24
"66",0.9,637.71,24
"67",0.95,758,24
"68",0.975,857.654999999999,24
"69",0.99,987.7,24
"70",0.01,2,25
"71",0.025,2.995,25
"72",0.05,5.2,25
"73",0.1,15.44,25
"74",0.15,21.4,25
"75",0.2,42.8,25
"76",0.25,46.4,25
"77",0.3,80.8799999999997,25
"78",0.35,127.7,25
"79",0.4,169.06,25
"80",0.45,205.9,25
"81",0.5,223.15,25
"82",0.55,245.1,25
"83",0.6,280.3,25
"84",0.65,322.5,25
"85",0.7,353.57,25
"86",0.75,411.4,25
"87",0.8,458.64,25
"88",0.85,498.9,25
"89",0.9,674.3,25
"90",0.95,856,25
"91",0.975,963.317499999998,25
"92",0.99,1297.4,25
"93",0.01,1.4,26
"94",0.025,1.8475,26
"95",0.05,4.7,26
"96",0.1,8.13,26
"97",0.15,15.1,26
"98",0.2,26.34,26
"99",0.25,55.9,26
"100",0.3,58.6,26
"101",0.35,155.2,26
"102",0.4,193.2,26
"103",0.45,211.9,26
"104",0.5,254.2,26
"105",0.55,308.7,26
"106",0.6,325.76,26
"107",0.65,357,26
"108",0.7,376.95,26
"109",0.75,398,26
"110",0.8,482.92,26
"111",0.85,560.1,26
"112",0.9,631.430000000001,26
"113",0.95,876.8,26
"114",0.975,985.564999999999,26
"115",0.99,1599.9,26
"116",0.01,1.2,27
"117",0.025,1.3125,27
"118",0.05,3.3,27
"119",0.1,4.6,27
"120",0.15,11.1,27
"121",0.2,22.44,27
"122",0.25,39,27
"123",0.3,73.3,27
"124",0.35,151.5,27
"125",0.4,213.76,27
"126",0.45,240,27
"127",0.5,277.05,27
"128",0.55,298.9,27
"129",0.6,331.76,27
"130",0.65,367.7,27
"131",0.7,397.57,27
"132",0.75,443.4,27
"133",0.8,475.64,27
"134",0.85,536.8,27
"135",0.9,626.09,27
"136",0.95,836.2,27
"137",0.975,958.849999999999,27
"138",0.99,1765.2,27
"139",0.01,1,28
"140",0.025,1.1225,28
"141",0.05,1.7,28
"142",0.1,3.61000000000001,28
"143",0.15,5.5,28
"144",0.2,15,28
"145",0.25,31.7,28
"146",0.3,91.64,28
"147",0.35,157.1,28
"148",0.4,208.9,28
"149",0.45,229.7,28
"150",0.5,260.1,28
"151",0.55,276.2,28
"152",0.6,314.3,28
"153",0.65,339.9,28
"154",0.7,375.42,28
"155",0.75,434.1,28
"156",0.8,479.74,28
"157",0.85,547.8,28
"158",0.9,637.72,28
"159",0.95,809.9,28
"160",0.975,998.105,28
"161",0.99,1713.7,28
"162",0.01,0.9,29
"163",0.025,0.9225,29
"164",0.05,1,29
"165",0.1,2.47,29
"166",0.15,3.9,29
"167",0.2,13.02,29
"168",0.25,22,29
"169",0.3,106.71,29
"170",0.35,113.1,29
"171",0.4,189.44,29
"172",0.45,197.6,29
"173",0.5,223.15,29
"174",0.55,257.6,29
"175",0.6,273.38,29
"176",0.65,293.2,29
"177",0.7,348.73,29
"178",0.75,390.3,29
"179",0.8,464.08,29
"180",0.85,492,29
"181",0.9,630.97,29
"182",0.95,809,29
"183",0.975,1115.5025,29
"184",0.99,1473.9,29
"185",0.01,0.7,30
"186",0.025,0.8,30
"187",0.05,1.3,30
"188",0.1,1.79,30
"189",0.15,3.3,30
"190",0.2,10.34,30
"191",0.25,20.9,30
"192",0.3,67.2099999999999,30
"193",0.35,118.2,30
"194",0.4,129.3,30
"195",0.45,157.8,30
"196",0.5,181.95,30
"197",0.55,218.7,30
"198",0.6,227.12,30
"199",0.65,264.1,30
"200",0.7,284.33,30
"201",0.75,344.2,30
"202",0.8,393.64,30
"203",0.85,440.2,30
"204",0.9,572.060000000001,30
"205",0.95,792.5,30
"206",0.975,1157.6875,30
"207",0.99,1193.3,30
"208",0.01,0.5,31
"209",0.025,0.645,31
"210",0.05,0.8,31
"211",0.1,2.58,31
"212",0.15,3,31
"213",0.2,9.68000000000001,31
"214",0.25,18.9,31
"215",0.3,37.3699999999999,31
"216",0.35,85.1,31
"217",0.4,117.5,31
"218",0.45,122.5,31
"219",0.5,140.7,31
"220",0.55,167.5,31
"221",0.6,191.12,31
"222",0.65,203.3,31
"223",0.7,241.6,31
"224",0.75,278.7,31
"225",0.8,322.66,31
"226",0.85,423.9,31
"227",0.9,474.24,31
"228",0.95,727.4,31
"229",0.975,988.454999999997,31
"230",0.99,1192.7,31
"231",0.01,0.4,32
"232",0.025,0.5,32
"233",0.05,0.7,32
"234",0.1,2.36,32
"235",0.15,3,32
"236",0.2,8.44000000000001,32
"237",0.25,14.1,32
"238",0.3,25.09,32
"239",0.35,53.4,32
"240",0.4,78.4,32
"241",0.45,96,32
"242",0.5,116.6,32
"243",0.55,131.2,32
"244",0.6,141.74,32
"245",0.65,157.7,32
"246",0.7,192.139999999999,32
"247",0.75,214.7,32
"248",0.8,230.860000000001,32
"249",0.85,329.1,32
"250",0.9,439.48,32
"251",0.95,613.9,32
"252",0.975,807.592499999999,32
"253",0.99,1118,32
"254",0.01,0.4,33
"255",0.025,0.4,33
"256",0.05,0.6,33
"257",0.1,1.69,33
"258",0.15,2,33
"259",0.2,6.82000000000001,33
"260",0.25,9.9,33
"261",0.3,16.29,33
"262",0.35,28.6,33
"263",0.4,49.46,33
"264",0.45,60.3,33
"265",0.5,77.5,33
"266",0.55,103.1,33
"267",0.6,115.1,33
"268",0.65,132.1,33
"269",0.7,141.63,33
"270",0.75,155.8,33
"271",0.8,174.34,33
"272",0.85,268.8,33
"273",0.9,303.33,33
"274",0.95,488.5,33
"275",0.975,677.6325,33
"276",0.99,942.6,33
"277",0.01,0.3,34
"278",0.025,0.3225,34
"279",0.05,0.5,34
"280",0.1,1.19,34
"281",0.15,1.6,34
"282",0.2,4.28,34
"283",0.25,7.3,34
"284",0.3,10.21,34
"285",0.35,15.8,34
"286",0.4,28.84,34
"287",0.45,40.4,34
"288",0.5,43.85,34
"289",0.55,64.3,34
"290",0.6,85.98,34
"291",0.65,96.3,34
"292",0.7,105.26,34
"293",0.75,115.7,34
"294",0.8,131.6,34
"295",0.85,160.2,34
"296",0.9,215.69,34
"297",0.95,366.6,34
"298",0.975,614.66,34
"299",0.99,717.3,34
"300",0.01,0.3,35
"301",0.025,0.3,35
"302",0.05,0.4,35
"303",0.1,0.890000000000001,35
"304",0.15,1.3,35
"305",0.2,2.68000000000001,35
"306",0.25,4.7,35
"307",0.3,6.94999999999999,35
"308",0.35,10.3,35
"309",0.4,16.26,35
"310",0.45,23.2,35
"311",0.5,27.1,35
"312",0.55,41.8,35
"313",0.6,50.08,35
"314",0.65,66.7,35
"315",0.7,70.75,35
"316",0.75,85.5,35
"317",0.8,92.5,35
"318",0.85,116.7,35
"319",0.9,152.44,35
"320",0.95,288.2,35
"321",0.975,495.77,35
"322",0.99,530.3,35
"323",0.01,0.2,36
"324",0.025,0.2,36
"325",0.05,0.4,36
"326",0.1,0.690000000000001,36
"327",0.15,0.9,36
"328",0.2,1.3,36
"329",0.25,2.8,36
"330",0.3,4.34,36
"331",0.35,5.9,36
"332",0.4,9.66,36
"333",0.45,13.8,36
"334",0.5,16.95,36
"335",0.55,25.2,36
"336",0.6,31.12,36
"337",0.65,39.3,36
"338",0.7,45.93,36
"339",0.75,61.8,36
"340",0.8,64.4600000000001,36
"341",0.85,73.3,36
"342",0.9,106.23,36
"343",0.95,216.4,36
"344",0.975,313.8175,36
"345",0.99,432.2,36
"346",0.01,0.2,37
"347",0.025,0.2,37
"348",0.05,0.3,37
"349",0.1,0.5,37
"350",0.15,0.7,37
"351",0.2,1.14,37
"352",0.25,1.5,37
"353",0.3,2.67,37
"354",0.35,3.5,37
