,quantiles,value,horizon,target_end_date
0,0.01,801.831883544,23,2024-02-10
1,0.025,1027.510985625,23,2024-02-10
2,0.05,1241.876958725,23,2024-02-10
3,0.1,1744.2976551,23,2024-02-10
4,0.15000000000000002,2483.1349999999998,23,2024-02-10
5,0.2,3325.5914268,23,2024-02-10
6,0.25,4249.129803553677,23,2024-02-10
7,0.3,5355.7219272,23,2024-02-10
8,0.35000000000000003,6570.246900000001,23,2024-02-10
9,0.4,7450.114849028241,23,2024-02-10
10,0.45,8880.313967468233,23,2024-02-10
11,0.5,10285.750517731083,23,2024-02-10
12,0.55,12151.280785191764,23,2024-02-10
13,0.6000000000000001,13896.896864443592,23,2024-02-10
14,0.6500000000000001,15473.865824887487,23,2024-02-10
15,0.7000000000000001,17169.149070151307,23,2024-02-10
16,0.7500000000000001,18470.032549266714,23,2024-02-10
17,0.8,20192.95108022321,23,2024-02-10
18,0.8500000000000001,22197.892700000022,23,2024-02-10
19,0.9000000000000001,24421.516737866827,23,2024-02-10
20,0.9500000000000001,27571.92837565477,23,2024-02-10
21,0.975,30108.01006267408,23,2024-02-10
22,0.99,32717.522347221173,23,2024-02-10
0,0.01,629.359376773,24,2024-02-17
1,0.025,779.2863452598756,24,2024-02-17
2,0.05,975.9886263,24,2024-02-17
3,0.1,1567.15,24,2024-02-17
4,0.15000000000000002,2168.875000000001,24,2024-02-17
5,0.2,2818.73656334,24,2024-02-17
6,0.25,3603.2249010537935,24,2024-02-17
7,0.3,4600.958361933161,24,2024-02-17
8,0.35000000000000003,5636.352064160881,24,2024-02-17
9,0.4,6630.157,24,2024-02-17
10,0.45,7959.918768390245,24,2024-02-17
11,0.5,9625.25656749853,24,2024-02-17
12,0.55,11248.438800000002,24,2024-02-17
13,0.6000000000000001,12772.676127966852,24,2024-02-17
14,0.6500000000000001,14551.169553222011,24,2024-02-17
15,0.7000000000000001,16448.478304433364,24,2024-02-17
16,0.7500000000000001,18127.09881127678,24,2024-02-17
17,0.8,20093.125849439766,24,2024-02-17
18,0.8500000000000001,21993.579088776383,24,2024-02-17
19,0.9000000000000001,23750.419,24,2024-02-17
20,0.9500000000000001,27475.880375926503,24,2024-02-17
21,0.975,31445.936073000612,24,2024-02-17
22,0.99,34703.87773209435,24,2024-02-17
0,0.01,433.39039149399997,25,2024-02-24
1,0.025,551.6490482775001,25,2024-02-24
2,0.05,810.938438625,25,2024-02-24
3,0.1,1329.3,25,2024-02-24
4,0.15000000000000002,1776.3347380377033,25,2024-02-24
5,0.2,2248.900120755148,25,2024-02-24
6,0.25,2879.925,25,2024-02-24
7,0.3,3591.910477537514,25,2024-02-24
8,0.35000000000000003,4667.405540949745,25,2024-02-24
9,0.4,6000.105838106732,25,2024-02-24
10,0.45,7357.178405088374,25,2024-02-24
11,0.5,8688.676559688432,25,2024-02-24
12,0.55,10036.848985283421,25,2024-02-24
13,0.6000000000000001,11855.739558507985,25,2024-02-24
14,0.6500000000000001,13924.602463941455,25,2024-02-24
15,0.7000000000000001,16038.7939,25,2024-02-24
16,0.7500000000000001,17643.39074043223,25,2024-02-24
17,0.8,19085.1149494544,25,2024-02-24
18,0.8500000000000001,20666.44314690999,25,2024-02-24
19,0.9000000000000001,22658.590382302533,25,2024-02-24
20,0.9500000000000001,27851.19484604866,25,2024-02-24
21,0.975,31221.13954270975,25,2024-02-24
22,0.99,35235.37635747077,25,2024-02-24
0,0.01,273.28743028800005,26,2024-03-02
1,0.025,358.07314379250005,26,2024-03-02
2,0.05,678.498177561817,26,2024-03-02
3,0.1,1055.792476918498,26,2024-03-02
4,0.15000000000000002,1346.6411722037415,26,2024-03-02
5,0.2,1792.8,26,2024-03-02
6,0.25,2163.4145,26,2024-03-02
7,0.3,2744.212990334061,26,2024-03-02
8,0.35000000000000003,3831.734715160069,26,2024-03-02
9,0.4,4942.702000000001,26,2024-03-02
10,0.45,6042.024026989698,26,2024-03-02
11,0.5,7387.8845,26,2024-03-02
12,0.55,8956.382271570557,26,2024-03-02
13,0.6000000000000001,10506.9,26,2024-03-02
14,0.6500000000000001,12337.479129763033,26,2024-03-02
15,0.7000000000000001,14148.033576241989,26,2024-03-02
16,0.7500000000000001,15846.257854364218,26,2024-03-02
17,0.8,17018.712000000003,26,2024-03-02
18,0.8500000000000001,18290.20009600022,26,2024-03-02
19,0.9000000000000001,20722.39718359087,26,2024-03-02
20,0.9500000000000001,25468.895300148506,26,2024-03-02
21,0.975,30197.396064695982,26,2024-03-02
22,0.99,35231.32519999999,26,2024-03-02
