,quantiles,value,horizon,target_end_date
0,0.01,3149.779,17,2024-12-07
1,0.025,3508.7725,17,2024-12-07
2,0.05,3771.0750000000003,17,2024-12-07
3,0.1,4162.64,17,2024-12-07
4,0.15000000000000002,4495.775000000001,17,2024-12-07
5,0.2,4729.72,17,2024-12-07
6,0.25,4907.849999999999,17,2024-12-07
7,0.3,5078.12,17,2024-12-07
8,0.35000000000000003,5251.75,17,2024-12-07
9,0.4,5457.38,17,2024-12-07
10,0.45,5633.474999999999,17,2024-12-07
11,0.5,5823.25,17,2024-12-07
12,0.55,6076.580000000001,17,2024-12-07
13,0.6000000000000001,6302.3,17,2024-12-07
14,0.6500000000000001,6571.705,17,2024-12-07
15,0.7000000000000001,6946.430000000001,17,2024-12-07
16,0.7500000000000001,7426.475000000001,17,2024-12-07
17,0.8,8062.160000000001,17,2024-12-07
18,0.8500000000000001,8930.445,17,2024-12-07
19,0.9000000000000001,9987.32,17,2024-12-07
20,0.9500000000000001,10757.980000000003,17,2024-12-07
21,0.975,11497.4925,17,2024-12-07
22,0.99,13056.675999999998,17,2024-12-07
0,0.01,4443.921,18,2024-12-14
1,0.025,4840.375,18,2024-12-14
2,0.05,5180.075,18,2024-12-14
3,0.1,5786.39,18,2024-12-14
4,0.15000000000000002,6140.6849999999995,18,2024-12-14
5,0.2,6545.74,18,2024-12-14
6,0.25,6845.525,18,2024-12-14
7,0.3,7171.86,18,2024-12-14
8,0.35000000000000003,7445.685,18,2024-12-14
9,0.4,7744.400000000001,18,2024-12-14
10,0.45,7999.344999999999,18,2024-12-14
11,0.5,8352.8,18,2024-12-14
12,0.55,8686.635,18,2024-12-14
13,0.6000000000000001,9054.260000000004,18,2024-12-14
14,0.6500000000000001,9496.795000000002,18,2024-12-14
15,0.7000000000000001,10028.810000000001,18,2024-12-14
16,0.7500000000000001,10672.200000000004,18,2024-12-14
17,0.8,11562.340000000002,18,2024-12-14
18,0.8500000000000001,13673.075000000004,18,2024-12-14
19,0.9000000000000001,16853.20000000001,18,2024-12-14
20,0.9500000000000001,18136.785,18,2024-12-14
21,0.975,19519.827500000003,18,2024-12-14
22,0.99,21627.836999999985,18,2024-12-14
0,0.01,6333.14,19,2024-12-21
1,0.025,6798.0,19,2024-12-21
2,0.05,7293.68,19,2024-12-21
3,0.1,7938.889999999999,19,2024-12-21
4,0.15000000000000002,8582.040000000003,19,2024-12-21
5,0.2,9118.16,19,2024-12-21
6,0.25,9542.525,19,2024-12-21
7,0.3,9998.08,19,2024-12-21
8,0.35000000000000003,10483.050000000001,19,2024-12-21
9,0.4,10941.02,19,2024-12-21
10,0.45,11486.725,19,2024-12-21
11,0.5,11987.7,19,2024-12-21
12,0.55,12613.125,19,2024-12-21
13,0.6000000000000001,13313.720000000001,19,2024-12-21
14,0.6500000000000001,14095.745000000004,19,2024-12-21
15,0.7000000000000001,14928.890000000003,19,2024-12-21
16,0.7500000000000001,15843.473234655954,19,2024-12-21
17,0.8,17282.260000000002,19,2024-12-21
18,0.8500000000000001,21315.175000000014,19,2024-12-21
19,0.9000000000000001,26303.300000000003,19,2024-12-21
20,0.9500000000000001,27786.145000000004,19,2024-12-21
21,0.975,30351.33000000002,19,2024-12-21
22,0.99,32566.31799999999,19,2024-12-21
0,0.01,7855.829000000001,20,2024-12-28
1,0.025,8369.987500000001,20,2024-12-28
2,0.05,8927.93,20,2024-12-28
3,0.1,9951.25,20,2024-12-28
4,0.15000000000000002,10794.96,20,2024-12-28
5,0.2,11489.42,20,2024-12-28
6,0.25,12222.575,20,2024-12-28
7,0.3,12984.539999999999,20,2024-12-28
8,0.35000000000000003,13612.09,20,2024-12-28
9,0.4,14332.6,20,2024-12-28
10,0.45,15073.55,20,2024-12-28
11,0.5,15960.349999999999,20,2024-12-28
12,0.55,16910.22,20,2024-12-28
13,0.6000000000000001,17917.32,20,2024-12-28
14,0.6500000000000001,19168.250000000004,20,2024-12-28
15,0.7000000000000001,20822.830000000005,20,2024-12-28
16,0.7500000000000001,23126.300000000003,20,2024-12-28
17,0.8,25778.360000000004,20,2024-12-28
18,0.8500000000000001,31251.03000000001,20,2024-12-28
19,0.9000000000000001,36351.21000000001,20,2024-12-28
20,0.9500000000000001,38441.34000000001,20,2024-12-28
21,0.975,40735.82750000001,20,2024-12-28
22,0.99,43482.29,20,2024-12-28
