"","quantile","value","horizon"
"1",0.01,5488.6576506371,24
"2",0.025,5804.40839529743,24
"3",0.05,5937.20593821051,24
"4",0.1,7196.62585167621,24
"5",0.15,8397.57053744434,24
"6",0.2,13881.4,24
"7",0.25,14495.3567474048,24
"8",0.3,14781.9542120187,24
"9",0.35,15938.6,24
"10",0.4,20506.9119237435,24
"11",0.45,21542.0989492233,24
"12",0.5,22727.3164760878,24
"13",0.55,23649.9122574408,24
"14",0.6,24694.5567753136,24
"15",0.65,26027.5987202699,24
"16",0.7,27429.2016811539,24
"17",0.75,28369.7507910056,24
"18",0.8,30064.4849958887,24
"19",0.85,32177.5844602173,24
"20",0.9,33321.4850896207,24
"21",0.95,34323.7978096056,24
"22",0.975,35476.1165450076,24
"23",0.99,37747.8510909696,24
"24",0.01,5061.61541690381,25
"25",0.025,5678.4681580267,25
"26",0.05,6002.25287357075,25
"27",0.1,7151.28316845601,25
"28",0.15,8206.65865452161,25
"29",0.2,10830.9202040484,25
"30",0.25,11091.057788868,25
"31",0.3,11403.5282622199,25
"32",0.35,14717.4635969147,25
"33",0.4,19236.8765438603,25
"34",0.45,20469.8843074572,25
"35",0.5,21328.4650566092,25
"36",0.55,22607.4464510909,25
"37",0.6,23639.9986156389,25
"38",0.65,24815.4317174549,25
"39",0.7,25645.6678779774,25
"40",0.75,26317.6680075738,25
"41",0.8,27112.5259990517,25
"42",0.85,28383.2197127045,25
"43",0.9,30257.6362290051,25
"44",0.95,32763.8281124548,25
"45",0.975,34459.5168690783,25
"46",0.99,37316.2950734256,25
"47",0.01,4608.74044345718,26
"48",0.025,5753.05103262325,26
"49",0.05,5992.84358824156,26
"50",0.1,6979.63534001916,26
"51",0.15,7976.00761031762,26
"52",0.2,8156.19648629451,26
"53",0.25,8283.32010091265,26
"54",0.3,8525.00195952608,26
"55",0.35,13449.8244273473,26
"56",0.4,15919.4822865209,26
"57",0.45,18034.8672549112,26
"58",0.5,19101.9415660804,26
"59",0.55,19689.2132137855,26
"60",0.6,20191.0781447897,26
"61",0.65,20905.5793157342,26
"62",0.7,22427.9980374986,26
"63",0.75,23813.5261108947,26
"64",0.8,25421.4479094311,26
"65",0.85,27487.8317234076,26
"66",0.9,30367.651090725,26
"67",0.95,33018.0800196115,26
"68",0.975,35301.5353281943,26
"69",0.99,37746.908883843,26
"70",0.01,4330.025,27
"71",0.025,5639.7412268819,27
"72",0.05,5873.18880253392,27
"73",0.1,6008.73274058667,27
"74",0.15,6120.57373488669,27
"75",0.2,6259.51938766702,27
"76",0.25,7009.13833803379,27
"77",0.3,8015.102,27
"78",0.35,10887.5677397403,27
"79",0.4,13417.2367208236,27
"80",0.45,14544.4997435824,27
"81",0.5,15069.4799891324,27
"82",0.55,15626.2004416463,27
