"","quantile","value","horizon"
"1",0.01,3604.28,22
"2",0.025,6109.90763700745,22
"3",0.05,6644.73223724027,22
"4",0.1,7875.72078854513,22
"5",0.15,9111.39272733105,22
"6",0.2,10237.1450039043,22
"7",0.25,12277.3467351775,22
"8",0.3,14690.435545807,22
"9",0.35,17140.7557917368,22
"10",0.4,18766.005384749,22
"11",0.45,20595.8406065442,22
"12",0.5,22300.0312195401,22
"13",0.55,23015.0551562815,22
"14",0.6,24012.1397281016,22
"15",0.65,24887.6439535803,22
"16",0.7,25831.9637002247,22
"17",0.75,27476.5278364321,22
"18",0.8,30139.5591942627,22
"19",0.85,33138.493691669,22
"20",0.9,38517.2159855553,22
"21",0.95,46229.7032512672,22
"22",0.975,50294.024782191,22
"23",0.99,54579.9611537281,22
"24",0.01,3361.61,23
"25",0.025,5815.55708349518,23
"26",0.05,6330.35647825341,23
"27",0.1,7432.08836944128,23
"28",0.15,8765.41150352322,23
"29",0.2,9933.65203128455,23
"30",0.25,12341.0753562626,23
"31",0.3,14993.8471976894,23
"32",0.35,17405.4682968498,23
"33",0.4,18441.7387228726,23
"34",0.45,19070.0099622917,23
"35",0.5,19755.4670633419,23
"36",0.55,20406.0186339961,23
"37",0.6,21279.1349403058,23
"38",0.65,22988.1742604658,23
"39",0.7,24743.4474219513,23
"40",0.75,26477.2644077922,23
"41",0.8,28793.5354317268,23
"42",0.85,31990.8277418118,23
"43",0.9,36482.0064609231,23
"44",0.95,41388.3501021161,23
"45",0.975,44121.0257204995,23
"46",0.99,49213.4328116984,23
"47",0.01,3409.74,24
"48",0.025,5614.79591561956,24
"49",0.05,6189.70381252246,24
"50",0.1,7303.46823643851,24
"51",0.15,8506.6692274691,24
"52",0.2,9424.89565672606,24
"53",0.25,12506.7344410065,24
"54",0.3,14280.2901330099,24
"55",0.35,14814.2378988799,24
"56",0.4,15301.3959733427,24
"57",0.45,15844.2404376594,24
"58",0.5,17478.3209448983,24
"59",0.55,19536.8480236787,24
"60",0.6,21176.4213619403,24
"61",0.65,22600.0978697132,24
"62",0.7,24214.0420301536,24
"63",0.75,26247.3549408329,24
"64",0.8,28134.8999089027,24
"65",0.85,30971.269914648,24
"66",0.9,33241.2894076406,24
"67",0.95,34995.6038917723,24
"68",0.975,37504.6500882027,24
"69",0.99,50572.308757947,24
"70",0.01,3193.1,25
"71",0.025,5234.60253322347,25
"72",0.05,6124.56327312771,25
"73",0.1,7178.86854566496,25
"74",0.15,8266.67507980443,25
"75",0.2,9371,25
"76",0.25,10939.0243467143,25
"77",0.3,11289.5596915232,25
"78",0.35,11586.1833380851,25
"79",0.4,13196.4947644501,25
"80",0.45,15460.5570840124,25
"81",0.5,17077.9969295259,25
"82",0.55,18694.6513381959,25
"83",0.6,20483.0699893428,25
"84",0.65,21796.1940915078,25
"85",0.7,23376.8664261597,25
"86",0.75,24870.1886710611,25
"87",0.8,26055.9603312473,25
"88",0.85,27113.1791398084,25
"89",0.9,28940.800615922,25
"90",0.95,32953.696992067,25
"91",0.975,39531.1541170414,25
"92",0.99,49944.5477550898,25
"93",0.01,3156.19,26
"94",0.025,4897.27454344085,26
"95",0.05,6077.35685680421,26
"96",0.1,6976.68792568513,26
"97",0.15,7829.6996120491,26
"98",0.2,8153.76235108226,26
"99",0.25,8329.2091559357,26
"100",0.3,8468.57443181803,26
"101",0.35,9762.72499999999,26
"102",0.4,12671.7384931152,26
"103",0.45,14609.4067886295,26
"104",0.5,15871.7525347102,26
"105",0.55,17251.7659671217,26
"106",0.6,18690.4575790154,26
"107",0.65,19641.3095820538,26
"108",0.7,20417.2122515637,26
"109",0.75,21707.377840954,26
"110",0.8,23466.348515947,26
"111",0.85,25608.5041377823,26
"112",0.9,28379.611701356,26
"113",0.95,32398.8719859468,26
"114",0.975,37773.8321568321,26
"115",0.99,47147.7003411295,26
"116",0.01,2827.705,27
"117",0.025,4560.2125,27
"118",0.05,5746.70864026181,27
"119",0.1,5958.81632493875,27
"120",0.15,6103.80943889001,27
"121",0.2,6231.85894492544,27
"122",0.25,6995.94585739998,27
"123",0.3,7916.65030606033,27
"124",0.35,8661.87781493225,27
"125",0.4,11143.3784691827,27
"126",0.45,12983.035375518,27
"127",0.5,14078.7148719026,27
"128",0.55,14825.8303234233,27
"129",0.6,15405.2980300609,27
"130",0.65,16311.3956717996,27
"131",0.7,17659.7687212144,27
"132",0.75,19434.5326885077,27
"133",0.8,21190.1349612788,27
"134",0.85,23469.225405779,27
"135",0.9,26675.8477773512,27
"136",0.95,31687.4140135386,27
"137",0.975,35959.4099772963,27
"138",0.99,41861.1788466147,27
"139",0.01,2477.76,28
"140",0.025,3801.86233576642,28
"141",0.05,4203.07217334209,28
"142",0.1,4369.79294129531,28
"143",0.15,4508.40820180317,28
"144",0.2,5937.37059750458,28
"145",0.25,6578.51163552802,28
"146",0.3,7155.57629989629,28
