"","quantile","value","horizon"
"1",0.01,2361.38162009241,27
"2",0.025,2648.23799371533,27
"3",0.05,3167.69778185063,27
"4",0.1,4675.8838721299,27
"5",0.15,5849.20513607112,27
"6",0.2,6056.23352899269,27
"7",0.25,6323.29623569012,27
"8",0.3,7350.48984274667,27
"9",0.35,8299.87256639175,27
"10",0.4,10547.2886604553,27
"11",0.45,12688.1718977387,27
"12",0.5,14119.1361643359,27
"13",0.55,15044.9014220845,27
"14",0.6,15938.3506232622,27
"15",0.65,17381.2032838745,27
"16",0.7,18991.8598601279,27
"17",0.75,20686.2125515606,27
"18",0.8,22685.5100063901,27
"19",0.85,24917.0952763066,27
"20",0.9,27503.357537439,27
"21",0.95,30608.7583017034,27
"22",0.975,34680.4361801534,27
"23",0.99,41496.5558752253,27
"24",0.01,1791.96642760811,28
"25",0.025,1981.82454992055,28
"26",0.05,2405.8261631615,28
"27",0.1,4095.47265929206,28
"28",0.15,4324.75168737076,28
"29",0.2,4528.84675453114,28
"30",0.25,6057.03076302849,28
"31",0.3,6976.56218744682,28
"32",0.35,7745.58653127249,28
"33",0.4,8971.27975941657,28
"34",0.45,10661.4880203393,28
"35",0.5,11409.9358751257,28
"36",0.55,12140.8930164585,28
"37",0.6,13264.8224416047,28
"38",0.65,14584.0527799216,28
"39",0.7,15752.6316803845,28
"40",0.75,17399.7801392077,28
"41",0.8,19474.6190526035,28
"42",0.85,21264.9895289971,28
"43",0.9,23220.2908325592,28
"44",0.95,26809.4149248849,28
"45",0.975,29948.5973175518,28
"46",0.99,34193.2435683029,28
"47",0.01,1390.17813321548,29
"48",0.025,1526.42516960388,29
"49",0.05,1855.65781872904,29
"50",0.1,3130.21830549877,29
"51",0.15,3312.20222740097,29
"52",0.2,3710.62421146704,29
"53",0.25,5378.65989277137,29
"54",0.3,6223.4699415684,29
"55",0.35,6866.559456697,29
"56",0.4,7494.99952093403,29
"57",0.45,8122.92726651084,29
"58",0.5,8652.40176193629,29
"59",0.55,9347.02313650007,29
"60",0.6,10197.2455501756,29
"61",0.65,11180.1408133437,29
"62",0.7,12282.9319366151,29
"63",0.75,13559.8554037283,29
"64",0.8,15087.302723234,29
"65",0.85,16485.7610790732,29
"66",0.9,18417.748606586,29
"67",0.95,21549.1985557961,29
"68",0.975,24238.8183440772,29
"69",0.99,27076.7466438666,29
"70",0.01,1092.68419229529,30
"71",0.025,1233.95857676933,30
"72",0.05,1471.7674705236,30
"73",0.1,2341.45172945642,30
"74",0.15,2502.60880174019,30
"75",0.2,3261.09760460455,30
"76",0.25,4103.81805184142,30
"77",0.3,5241.10664445435,30
"78",0.35,5795.94845139235,30
"79",0.4,6038.413673074,30
"80",0.45,6410.8099381831,30
"81",0.5,6720.50451853636,30
"82",0.55,7078.44809884579,30
"83",0.6,7446.83365578509,30
"84",0.65,8184.78962554901,30
"85",0.7,8919.14901688739,30
"86",0.75,9917.7476785319,30
"87",0.8,11096.510535958,30
"88",0.85,12206.3763901213,30
"89",0.9,14055.0501826164,30
"90",0.95,17154.732923926,30
"91",0.975,19630.3571359836,30
"92",0.99,22351.2685117115,30
"93",0.01,881.760495835417,31
"94",0.025,1002.5009215516,31
"95",0.05,1206.39047682058,31
"96",0.1,1759.94402399283,31
"97",0.15,1903.06599024653,31
"98",0.2,2617.93035983192,31
"99",0.25,2969.09186420109,31
"100",0.3,3492.2662269997,31
"101",0.35,3950.52375690843,31
"102",0.4,4339.12632664917,31
"103",0.45,4894.12316772197,31
"104",0.5,5375.72108193041,31
"105",0.55,5740.81819562181,31
