quantiles,value,horizon,target_end_date,k,n_bootstrapping
0.4,117.04,5,2024-09-14,0.05,0
0.45,168.98,5,2024-09-14,0.05,0
0.5,234.7,5,2024-09-14,0.05,0
0.55,280.5,5,2024-09-14,0.05,0
0.6000000000000001,301.66,5,2024-09-14,0.05,0
0.6500000000000001,565.4000000000003,5,2024-09-14,0.05,0
0.7000000000000001,628.9,5,2024-09-14,0.05,0
0.7500000000000001,779.3000000000004,5,2024-09-14,0.05,0
0.8,923.2400000000002,5,2024-09-14,0.05,0
0.8500000000000001,970.45,5,2024-09-14,0.05,0
0.9000000000000001,1437.2000000000007,5,2024-09-14,0.05,0
0.9500000000000001,1477.0,5,2024-09-14,0.05,0
0.975,1497.25,5,2024-09-14,0.05,0
0.99,1514.7599999999998,5,2024-09-14,0.05,0
0.01,0.29600000000000004,6,2024-09-21,0.05,0
0.025,2.3657881692047615,6,2024-09-21,0.05,0
0.05,3.962745519915559,6,2024-09-21,0.05,0
0.1,7.689661258017305,6,2024-09-21,0.05,0
0.15000000000000002,25.960000000000022,6,2024-09-21,0.05,0
0.2,72.3200000000001,6,2024-09-21,0.05,0
0.25,85.75,6,2024-09-21,0.05,0
0.3,114.58,6,2024-09-21,0.05,0
0.35000000000000003,120.12,6,2024-09-21,0.05,0
0.4,125.96000000000001,6,2024-09-21,0.05,0
0.45,166.82999999999998,6,2024-09-21,0.05,0
0.5,254.7,6,2024-09-21,0.05,0
0.55,293.09000000000003,6,2024-09-21,0.05,0
0.6000000000000001,350.70000000000016,6,2024-09-21,0.05,0
0.6500000000000001,538.2000000000003,6,2024-09-21,0.05,0
0.7000000000000001,602.2,6,2024-09-21,0.05,0
0.7500000000000001,716.3,6,2024-09-21,0.05,0
0.8,1201.6000000000001,6,2024-09-21,0.05,0
0.8500000000000001,1246.55,6,2024-09-21,0.05,0
0.9000000000000001,1431.8000000000002,6,2024-09-21,0.05,0
0.9500000000000001,1453.3,6,2024-09-21,0.05,0
0.975,1472.3,6,2024-09-21,0.05,0
0.99,1484.12,6,2024-09-21,0.05,0
0.01,2.1434888822528197,7,2024-09-28,0.05,0
0.025,4.663327843716398,7,2024-09-28,0.05,0
0.05,5.120637488098051,7,2024-09-28,0.05,0
0.1,21.19077107908829,7,2024-09-28,0.05,0
0.15000000000000002,70.1,7,2024-09-28,0.05,0
0.2,82.52,7,2024-09-28,0.05,0
0.25,114.35,7,2024-09-28,0.05,0
0.3,130.9,7,2024-09-28,0.05,0
0.35000000000000003,138.34,7,2024-09-28,0.05,0
0.4,173.44000000000003,7,2024-09-28,0.05,0
0.45,258.46999999999997,7,2024-09-28,0.05,0
0.5,289.1,7,2024-09-28,0.05,0
0.55,320.82,7,2024-09-28,0.05,0
0.6000000000000001,451.00000000000045,7,2024-09-28,0.05,0
0.6500000000000001,550.2000000000005,7,2024-09-28,0.05,0
0.7000000000000001,628.9,7,2024-09-28,0.05,0
0.7500000000000001,747.8000000000006,7,2024-09-28,0.05,0
0.8,1586.9600000000005,7,2024-09-28,0.05,0
0.8500000000000001,1638.0,7,2024-09-28,0.05,0
0.9000000000000001,1659.2,7,2024-09-28,0.05,0
0.9500000000000001,1694.41,7,2024-09-28,0.05,0
0.975,1706.3,7,2024-09-28,0.05,0
0.99,1709.3,7,2024-09-28,0.05,0
0.01,4.900751965357118,8,2024-10-05,0.05,0
0.025,6.165325051661453,8,2024-10-05,0.05,0
0.05,6.835529087036673,8,2024-10-05,0.05,0
0.1,38.346425728729685,8,2024-10-05,0.05,0
0.15000000000000002,87.01000000000002,8,2024-10-05,0.05,0
0.2,118.75999999999999,8,2024-10-05,0.05,0
0.25,150.95,8,2024-10-05,0.05,0
0.3,162.32,8,2024-10-05,0.05,0
0.35000000000000003,189.28000000000006,8,2024-10-05,0.05,0
0.4,267.88,8,2024-10-05,0.05,0
0.45,308.98999999999995,8,2024-10-05,0.05,0
0.5,343.4,8,2024-10-05,0.05,0
0.55,501.20000000000005,8,2024-10-05,0.05,0
0.6000000000000001,587.8000000000002,8,2024-10-05,0.05,0
0.6500000000000001,685.0800000000002,8,2024-10-05,0.05,0
0.7000000000000001,747.9000000000002,8,2024-10-05,0.05,0
0.7500000000000001,1200.950000000004,8,2024-10-05,0.05,0
0.8,1885.2,8,2024-10-05,0.05,0
0.8500000000000001,1915.9,8,2024-10-05,0.05,0
0.9000000000000001,1962.04,8,2024-10-05,0.05,0
0.9500000000000001,2092.7,8,2024-10-05,0.05,0
0.975,2128.265,8,2024-10-05,0.05,0
0.99,2135.786,8,2024-10-05,0.05,0
0.01,6.699542925180449,9,2024-10-12,0.05,0
0.025,8.576063853101848,9,2024-10-12,0.05,0
0.05,9.537836571061312,9,2024-10-12,0.05,0
0.1,64.2982315994257,9,2024-10-12,0.05,0
0.15000000000000002,143.33,9,2024-10-12,0.05,0
0.2,167.98000000000002,9,2024-10-12,0.05,0
0.25,191.25,9,2024-10-12,0.05,0
0.3,216.45999999999998,9,2024-10-12,0.05,0
0.35000000000000003,306.69000000000005,9,2024-10-12,0.05,0
0.4,338.7200000000001,9,2024-10-12,0.05,0
0.45,369.6,9,2024-10-12,0.05,0
0.5,413.6,9,2024-10-12,0.05,0
0.55,523.52,9,2024-10-12,0.05,0
0.6000000000000001,584.0000000000003,9,2024-10-12,0.05,0
0.6500000000000001,656.9000000000001,9,2024-10-12,0.05,0
0.7000000000000001,843.64,9,2024-10-12,0.05,0
0.7500000000000001,1952.20000000001,9,2024-10-12,0.05,0
0.8,2689.8,9,2024-10-12,0.05,0
0.8500000000000001,2773.72,9,2024-10-12,0.05,0
0.9000000000000001,2988.2000000000003,9,2024-10-12,0.05,0
0.9500000000000001,3084.8,9,2024-10-12,0.05,0
0.975,3127.75,9,2024-10-12,0.05,0
0.99,3149.04,9,2024-10-12,0.05,0
0.01,9.541079629709001,10,2024-10-19,0.05,0
0.025,12.409862159142046,10,2024-10-19,0.05,0
0.05,13.857100675944618,10,2024-10-19,0.05,0
0.1,102.73065740585035,10,2024-10-19,0.05,0
0.15000000000000002,209.6500000000001,10,2024-10-19,0.05,0
0.2,257.68,10,2024-10-19,0.05,0
0.25,297.65,10,2024-10-19,0.05,0
0.3,337.32,10,2024-10-19,0.05,0
0.35000000000000003,374.47,10,2024-10-19,0.05,0
0.4,407.4600000000001,10,2024-10-19,0.05,0
0.45,466.73999999999995,10,2024-10-19,0.05,0
0.5,574.1,10,2024-10-19,0.05,0
0.55,634.99,10,2024-10-19,0.05,0
0.6000000000000001,677.7200000000001,10,2024-10-19,0.05,0
0.6500000000000001,764.7900000000001,10,2024-10-19,0.05,0
0.7000000000000001,1029.9000000000005,10,2024-10-19,0.05,0
0.7500000000000001,2988.000000000002,10,2024-10-19,0.05,0
0.8,3429.62,10,2024-10-19,0.05,0
0.8500000000000001,3573.1800000000003,10,2024-10-19,0.05,0
0.9000000000000001,4370.2,10,2024-10-19,0.05,0
0.9500000000000001,4476.1,10,2024-10-19,0.05,0
0.975,4557.0,10,2024-10-19,0.05,0
0.99,4601.76,10,2024-10-19,0.05,0
0.01,12.506069695944575,11,2024-10-26,0.05,0
0.025,18.658017523395607,11,2024-10-26,0.05,0
0.05,21.482647855981824,11,2024-10-26,0.05,0
0.1,157.28964871672738,11,2024-10-26,0.05,0
