k_perc,week,wis_adaptive_ensemble2,wis_original_ensemble2,wis_original_ensembleA,wis_original_ensembleB,wis_original_ensembleC,wis_original_ensembleD,wis_original_ensembleE,wis_original_ensembleF,wis_rel_original2,wis_rel_originalA,wis_rel_originalB,wis_rel_originalC,wis_rel_originalD,wis_rel_originalE,wis_rel_originalF
5,2023-11-04,2722.571865518334,2347.767056532496,2342.2838502107306,2472.13542465291,2627.274913905907,2306.0118206467832,2970.7602780118023,2320.3700993836223,1.1596430991494535,1.1623577839523547,1.1013036900681061,1.0362721659267669,1.1806408974758487,0.916456263963658,1.1733351788327007
5,2023-11-11,2483.859904142458,2414.5660413037785,2403.9390504030757,2550.1659599103714,2697.2688392174546,2377.2691283354516,3054.3793012474252,2389.601860391521,1.0286982677853216,1.0332457903730887,0.9739993173737431,0.9208796201653701,1.044837487912713,0.8132126560470195,1.0394450830129056
5,2023-11-18,2410.3869337792144,2476.6204708879254,2458.5301616806987,2628.5379498630023,2758.8446875248205,2447.770048320282,3129.1293772179542,2456.687555220314,0.9732564848400188,0.980417881931303,0.9170067085791332,0.8736943201908783,0.9847276852796197,0.7703059359987987,0.98115323157692
5,2023-11-25,2410.167258721617,2526.0605780507794,2495.965961605348,2702.8465736291323,2800.3210787345924,2512.7893013669864,3182.7317578823136,2516.4502002411086,0.9541209263403371,0.9656250509007153,0.8917144177686221,0.8606753264917473,0.9591601084143658,0.7572637099411935,0.9577647348199825
5,2023-12-02,2426.231529961873,2556.4651573936967,2507.8187619253445,2769.446674924882,2811.304013818097,2567.2995671283643,3203.436446015771,2563.063722741719,0.9490571475010455,0.96746685478147,0.8760708599047794,0.8630270927784691,0.9450519764141581,0.7573840064720074,0.9466138155030043
5,2023-12-09,2466.677452508119,2566.262435692873,2493.2387693647156,2822.8125686554304,2789.8200365729735,2609.8362299708024,3188.3291055260133,2598.091265005397,0.9611945443304333,0.9893466613855983,0.8738367824694268,0.8841708139490588,0.9451464517893198,0.7736583554793238,0.9494190930598411
5,2023-12-16,2527.0254033940764,2553.2080174645625,2448.7185969003754,2865.2526002999584,2729.3799399803747,2642.2948584874825,3125.2165915819924,2618.763495688321,0.9897452092068525,1.031978687380748,0.8819555396719739,0.9258606199810521,0.9563752490668701,0.8085920861295857,0.9649689281047
5,2023-12-23,2625.729175880544,2526.1590500712823,2382.723138113509,2887.1908484736855,2640.3427956081914,2665.5451264443595,3023.815225687863,2640.517930419261,1.0394156202502183,1.1019866865268417,0.9094408072360844,0.9944652566507823,0.9850627362602835,0.8683497435870072,0.9943992978164065
5,2023-12-30,2726.0996524019574,2485.3414186921905,2301.992947305369,2834.2685032554796,2551.0713791057015,2637.8359562916,2918.352179576619,2657.172158374281,1.0968712917666081,1.1842345805590033,0.9618353551439188,1.068609712268268,1.0334606463680338,0.9341229175422712,1.025940168690405
5,2024-01-06,2781.010517098116,2357.0163872784087,2197.164058777527,2532.347609061791,2464.2009505776364,2418.5220684400433,2822.9522228271753,2530.846359267317,1.1798859490787348,1.2657272933207517,1.0981946187586988,1.12856482603264,1.1498801492813664,0.9851426087236238,1.0988460468628454
5,2024-01-13,2877.1572552972348,2268.196087080175,2138.5865583956843,2295.458214635293,2380.676716094007,2269.160646226042,2728.1190852230193,2452.236980718326,1.268478184794406,1.345354596007378,1.2534130383873545,1.2085459717595788,1.2679389888425852,1.054630375514576,1.1732786341287613
5,2024-01-20,2754.623835556477,2226.9565915086005,2088.106070988476,2217.45987046069,2292.966449396985,2232.78184224256,2615.6851404995737,2424.6843307987187,1.2369454555422745,1.3191972734663244,1.2422429250023757,1.2013363022738082,1.2337183075574414,1.0531175151418901,1.1360752410393449
5,2024-01-27,2333.8139024176626,2191.1197691934085,2032.2448967117405,2197.8632152164746,2201.629430307138,2221.115684706273,2478.227197240497,2402.200854489326,1.0651238399792187,1.1483920595366601,1.0618558453774376,1.0600393827820898,1.0507394632739686,0.9417271769982839,0.9715315428583504
5,2024-02-03,1985.6914426132823,2141.373615796607,1975.575211718717,2163.44882504943,2114.5654635155934,2194.4441481011268,2334.0169986150995,2358.785794410512,0.9272979866591802,1.0051206508537656,0.9178361048442704,0.9390541351753423,0.9048721719946803,0.8507613456934985,0.841827794333283
5,2024-02-10,1741.8591156375553,2077.7289305682484,1909.904489243729,2131.3491640203433,2019.968510798288,2158.0880541742686,2174.2864367454426,2285.992660554321,0.8383476256265853,0.9120137291929634,0.817256573930807,0.8623199353484851,0.8071306971318316,0.8011175925122536,0.7619705634641797
5,2024-02-17,1594.414237809599,1996.1237485950267,1848.8888412235442,2073.8981921236377,1930.964874405881,2084.1829876357,2023.848151201405,2170.4543183995784,0.7987552069012899,0.8623634922013262,0.7688006305540702,0.8257085661903447,0.7650068382998868,0.7878131750463176,0.7345993068332659
5,2024-02-24,1454.3461886058894,1904.972180204209,1798.7866241717588,1977.0076220013623,1852.9177066570155,1978.4265016224551,1901.8408965981998,2026.5678341817195,0.7634474685346778,0.8085151229515813,0.7356300362330557,0.7848951863219991,0.7351024601688355,0.7647044456806357,0.7176400237266769
5,2024-03-02,1360.307393312779,1798.5180658911352,1734.7933032210794,1855.7444225670324,1770.2004520853625,1843.6901873024358,1793.3460356993603,1865.7779276415652,0.7563490292986129,0.7841322598992206,0.7330251821159077,0.7684482238778585,0.7378177758287523,0.7585303484289874,0.7290832275158674
5,2024-03-09,1257.042518303597,1659.5995961939038,1622.47740437354,1688.4982988707488,1660.642963928313,1686.1644826227812,1674.1411285658237,1691.823743802908,0.7574372283450032,0.7747673495576093,0.7444736658273774,0.7569613370293732,0.7455040900566847,0.7508581545813047,0.7430103300701981
5,2024-03-16,1162.5299742190603,1523.853535908915,1503.8962055724098,1527.2879438089897,1555.0329768287045,1531.3238649561754,1561.9171938521013,1527.434202734292,0.7628882611252135,0.7730121067607725,0.7611727565397793,0.7475918463091985,0.7591666275326614,0.7442968031819623,0.7610998707099729
5,2024-03-23,1114.9631927379205,1421.8101850378491,1423.1831412426457,1405.2544613209118,1484.1670569251899,1405.736362530026,1484.5706876686218,1395.1867069529364,0.7841856841869788,0.7834291739602787,0.793424410615197,0.7512383377163995,0.7931524163828445,0.7510340881705438,0.7991498106894817
5,2024-03-30,1084.6527072275785,1353.1136755417317,1373.6878971006226,1312.6236712908994,1445.233551193227,1320.322654458297,1440.423456708131,1298.5563388842925,0.8015976239345358,0.7895918057638152,0.8263242016357034,0.7505034091770548,0.8215057914556428,0.7530096112891604,0.8352758172660433
5,2024-04-06,1014.8777654017855,1257.7456866030204,1282.8758468175195,1188.6769416879965,1357.5834840466914,1217.849914564749,1361.886304036375,1203.395576453038,0.8069022030541133,0.791095855393515,0.8537877112014933,0.7475619564674085,0.8333356625183946,0.7452000672845293,0.8433451021924964
5,2024-04-13,880.4524107456,1094.9101071587274,1123.8397053800104,1014.5794257935285,1187.924836469915,1054.503806869526,1207.707686932716,1042.3136545468114,0.8041321428937747,0.78343237610375,0.8678003795089534,0.7411684508272323,0.8349447436888566,0.7290277442729004,0.844709658081197
5,2024-04-20,734.7171979489643,931.758139695007,963.7970733825402,849.8791355535034,1015.6731884604799,888.5792927757467,1040.4008901894422,885.1163822998362,0.7885278020640204,0.762315240666173,0.8644960997547761,0.7233795341812869,0.8268448341327564,0.7061866294781647,0.8300797642451457
15,2023-11-04,2631.2846849770444,2347.767056532496,2342.2838502107306,2472.13542465291,2627.274913905907,2306.0118206467832,2970.7602780118023,2320.3700993836223,1.1207605446441888,1.1233842067178634,1.0643772419330464,1.0015262091720643,1.1410542918375108,0.8857277056154953,1.1339935321852375
15,2023-11-11,2477.727862217978,2414.5660413037785,2403.9390504030757,2550.1659599103714,2697.2688392174546,2377.2691283354516,3054.3793012474252,2389.601860391521,1.0261586636413118,1.0306949595092811,0.971594751545135,0.9186061938626885,1.042258039985934,0.8112050331162407,1.0368789476134816
15,2023-11-18,2398.609843018708,2476.6204708879254,2458.5301616806987,2628.5379498630023,2758.8446875248205,2447.770048320282,3129.1293772179542,2456.687555220314,0.9685011778000653,0.9756275844828245,0.9125262365505212,0.8694254714174187,0.9799163302389009,0.7665422403055969,0.9763593412283159
15,2023-11-25,2443.9097900647366,2526.0605780507794,2495.965961605348,2702.8465736291323,2800.3210787345924,2512.7893013669864,3182.7317578823136,2516.4502002411086,0.9674786944145916,0.9791438776243847,0.9041984898104226,0.8727248488123688,0.9725884254343257,0.7678654614898601,0.9711735164997815
