k_perc,week,mae_adaptive_ensemble2,mae_original_ensemble2,mae_original_ensembleA,mae_original_ensembleB,mae_original_ensembleC,mae_original_ensembleD,mae_original_ensembleE,mae_original_ensembleF,mae_rel_original2,mae_rel_originalA,mae_rel_originalB,mae_rel_originalC,mae_rel_originalD,mae_rel_originalE,mae_rel_originalF
5,2023-11-04,0.25332154339580687,0.21692658575033077,0.23493280275893091,0.3758582012263389,0.282513458046587,0.30181118887988306,0.37381219673978455,0.2611114541676328,1.1677754597002898,1.0782723417970073,0.6739816839682543,0.8966707113614165,0.8393378136044704,0.6776706207158544,0.9701663383681941
5,2023-11-11,0.23522836310212916,0.21712829058935101,0.23389231795049126,0.3787064034532251,0.2811777008993005,0.30412385265952296,0.3726260257670606,0.2623275566393505,1.0833611892013204,1.0057122233143232,0.6211364818688173,0.8365825680691963,0.7734623938408256,0.631271963942683,0.8966971145373132
5,2023-11-18,0.250725506552222,0.21728587724588938,0.23185430828311773,0.38242597999945516,0.27831091345183867,0.30757321825109657,0.36971914019933844,0.2644562780890283,1.153896929382534,1.0813924848274141,0.6556183932707166,0.9008827697143457,0.8151734015655899,0.678151275633283,0.9480792377627584
5,2023-11-25,0.24563346418182644,0.21637174224988445,0.22655141337171408,0.38777108969857704,0.27191302572852755,0.31224242864700463,0.3628514009178289,0.2664142941530405,1.1352381860388594,1.0842283459022324,0.633449658077302,0.9033530612360656,0.7866754856032689,0.6769533300973872,0.9219980668181542
5,2023-12-02,0.252941883397339,0.21530725089399239,0.2188798107408515,0.3945737793741593,0.2601412021561588,0.31735975738528405,0.35159097369432474,0.26795258493368196,1.174795007353822,1.15561998405059,0.6410509177739452,0.9723253421636062,0.7970193999432011,0.7194208677758837,0.9439800084777755
5,2023-12-09,0.255022594358387,0.2177285934111474,0.21337046244834526,0.40145984739811436,0.24895898619192783,0.32489830672795617,0.3389099743367287,0.2725680630262189,1.1712866480371529,1.1952103933791927,0.6352381091439253,1.024355851777869,0.7849305123400427,0.7524788695212781,0.9356290371181741
5,2023-12-16,0.26760437696950046,0.2214569759252043,0.2103258359073525,0.40958208672494323,0.23547049752301105,0.3347054912188731,0.322119149729497,0.2781425328538051,1.2083808868585026,1.2723324065968713,0.6533595722149134,1.1364666902415201,0.7995219199869853,0.8307620866198862,0.9621123897298958
5,2023-12-23,0.2860351303122012,0.23205562661621906,0.21502196804335166,0.41649306166049577,0.22472478473676266,0.34431627902888917,0.3090623234364762,0.2914117815625109,1.2326145005966829,1.3302600330331467,0.6867704570439223,1.2728241375211728,0.8307336821800457,0.9254933669421922,0.9815496435268305
5,2023-12-30,0.32915393645245283,0.236774458502441,0.22268373200272312,0.4151057500395029,0.2309564895913423,0.34668758740185773,0.3053740722972153,0.30403728558654947,1.3901581215064185,1.4781229571292964,0.7929399590854365,1.4251772575642385,0.9494252128240143,1.0778712612251278,1.0826104298933215
5,2024-01-06,0.3788986413337705,0.22219524760369427,0.22343529044463353,0.4012975371359884,0.26189313414800625,0.3370068254596033,0.33239183074603895,0.30087723893020435,1.705250879215793,1.6957869125318867,0.9441838194122094,1.4467681352793302,1.1243055413404044,1.1399156245306903,1.2593130762598665
5,2024-01-13,0.4345845710507228,0.2166388313310522,0.24952135906407588,0.3947525549411801,0.28250774929464534,0.3322599915619089,0.35697480074998134,0.3034725239854604,2.006032659891067,1.741672827852479,1.1009037575842362,1.5383102663051795,1.3079653948337264,1.2174096606754545,1.4320392678170235
5,2024-01-20,0.429079692110941,0.23038627173191828,0.264978646314876,0.3979881590654887,0.28619646528281195,0.33693952392911025,0.3620911312935571,0.31727068873708664,1.8624360248783662,1.6192991325084458,1.078121753969912,1.499248747488672,1.2734620358792232,1.1850046991708132,1.3524088651835953
5,2024-01-27,0.33926102519082746,0.2561806070509387,0.2723173763140816,0.40878705224640854,0.2839955028695201,0.35321283296339984,0.3520631702619225,0.3449755492528062,1.3243040880271204,1.2458295162168989,0.8299211614616595,1.1945999910664036,0.9605002806508504,0.9636367954603978,0.9834349881481281
5,2024-02-03,0.24205431386404005,0.28211560423757226,0.28556184155711883,0.42025717904794113,0.29589026500489707,0.37140301869284315,0.3386620386744286,0.37071848268001456,0.8579968999524173,0.8476423619632096,0.5759671123581867,0.8180543346366397,0.6517295274442108,0.7147370718356124,0.6529329536368681
5,2024-02-10,0.16770869864267074,0.31780097763404314,0.2954722139520777,0.4391552771265259,0.3021457071200662,0.3967588162395349,0.32183302759310556,0.3983075657706484,0.5277161193499916,0.567595498742468,0.3818892937824173,0.5550590152056236,0.4226968419560464,0.5211046855473931,0.4210532589763559
5,2024-02-17,0.18082678056766588,0.35676946911529034,0.3188580555672563,0.45555474029614357,0.32172915398023216,0.4210939277107649,0.3235631311166981,0.4225605663822045,0.5068448850628291,0.5671074555289832,0.39693754574942053,0.5620466107301433,0.42942148691317544,0.5588608935251275,0.42793103510777836
5,2024-02-24,0.2237751865059227,0.3988252127769037,0.37075851174057556,0.4670794581996568,0.36918858008147204,0.43663959290561694,0.3579971372437951,0.43918916212342235,0.5610858575059519,0.6035604832249976,0.47909447220919793,0.6061270542456657,0.5124940343059853,0.6250753517996218,0.5095189175980547
5,2024-03-02,0.2872308069349867,0.4366114590103606,0.4145332000882322,0.4781107808072492,0.4168406466815061,0.45030965427899794,0.4157447196539291,0.45540286597666485,0.6578636474315963,0.692901815521291,0.6007620377227679,0.6890662156429531,0.6378517631270401,0.6908826338770606,0.6307180485546277
