k_perc,week,mae_adaptive_ensemble2,mae_original_ensemble2,mae_original_ensembleA,mae_original_ensembleB,mae_original_ensembleC,mae_original_ensembleD,mae_original_ensembleE,mae_original_ensembleF,mae_rel_original2,mae_rel_originalA,mae_rel_originalB,mae_rel_originalC,mae_rel_originalD,mae_rel_originalE,mae_rel_originalF
5,2024-11-30,0.5712300871615995,0.6690989165854384,0.7272634103327236,0.7045800169953,0.7062376490464325,0.6662943057879696,0.6818523305007043,0.6259634430815234,0.8537304021903287,0.7854514321025188,0.8107384163371893,0.8088355073294078,0.8573239816090794,0.8377621687413291,0.9125614178833195
5,2024-12-07,0.5863382012544667,0.6612795553803182,0.7052115011948997,0.7038066324969583,0.6789909974929058,0.6626501460223979,0.6503059515778812,0.619253472967091,0.8866722046430864,0.8314359596532162,0.8330955893016548,0.8635434098823863,0.8848382585803402,0.9016343766065723,0.9468468516536305
5,2024-12-14,0.5892225609708399,0.6547704823563355,0.6856191321149804,0.7075767826075864,0.6527206805202201,0.6627483170186173,0.6162641380035772,0.6150347393775207,0.899891758789115,0.8594021569281785,0.83273303400292,0.9027177758505031,0.8890593093038184,0.9561201514656686,0.9580313488750157
5,2024-12-21,0.6124432587416451,0.6525644633518154,0.6749293563933939,0.7191938736501466,0.63457779273877,0.6694409462441038,0.5897421867034424,0.6159743048337797,0.9385176379294502,0.9074183141393427,0.8515690708449629,0.965119274184502,0.9148577812244022,1.038493213729711,0.9942675432003816
5,2024-12-28,0.6250370423584879,0.6669782227938256,0.6879027322896547,0.7326391489213943,0.6398021236852431,0.6861036383254295,0.5864341026678792,0.635160096679871,0.9371176164348286,0.908612530550764,0.8531308261081594,0.9769224252621908,0.9109950850632615,1.0658265600772387,0.9840622004211244
5,2025-01-04,0.5729889316730484,0.6899036686623494,0.7129366969153952,0.7427515145915803,0.6679473026422131,0.698665911569926,0.6182753647372671,0.6515365723490321,0.830534693030425,0.8037023962325865,0.7714409468260999,0.8578355349388553,0.8201186320734082,0.9267536187804234,0.8794424687584457
5,2025-01-11,0.5751302902372345,0.7059733659965347,0.7311741342377278,0.7496664062796435,0.6864209225012847,0.7081786036802561,0.6376574659222835,0.6648951706373089,0.8146628724801744,0.7865845676239984,0.7671816229453626,0.8378682400027777,0.8121260473677158,0.9019423765475528,0.8649939353386583
5,2025-01-18,0.6080706626650817,0.7248656387025295,0.7491291998158791,0.7624710282988505,0.7058231680025647,0.7251809231525758,0.6590337841168288,0.6881249499554626,0.8388736204319127,0.8117033254270869,0.7975000230785797,0.8615056720026398,0.8385089061935315,0.9226699409347539,0.8836631526068598
5,2025-02-01,0.6542274095612357,0.7565339437216154,0.7712779394310713,0.7888524976009939,0.7347695838550147,0.7591066948701098,0.7023006967627373,0.727303682901091,0.8647694065687213,0.8482381980791811,0.8293406074656909,0.890384446956542,0.8618385452036884,0.9315488544677573,0.8995244007999981
5,2025-02-08,0.6599653936053818,0.755245709450207,0.7724735733360799,0.7895659641481388,0.7410352868399456,0.7561292398075787,0.7167786961114582,0.7247826599899344,0.8738419634132235,0.8543533609249448,0.8358584634754578,0.8905991459863181,0.8728208867750321,0.920738014656002,0.9105700647067732
