k_perc,week,wis_adaptive_ensemble2,wis_original_ensemble2,wis_original_ensembleA,wis_original_ensembleB,wis_original_ensembleC,wis_original_ensembleD,wis_original_ensembleE,wis_original_ensembleF,wis_rel_original2,wis_rel_originalA,wis_rel_originalB,wis_rel_originalC,wis_rel_originalD,wis_rel_originalE,wis_rel_originalF
5,2024-11-30,9012.533984360864,9525.863198410632,9795.3911551506,11212.197616781634,9364.992825594536,10325.903897053853,8956.259889290477,9387.42408662582,0.9461120526971859,0.9200790291689275,0.8038151210313608,0.9623642166312821,0.8728082378272264,1.0062832137260416,0.9600646461898893
5,2024-12-07,9277.911066129576,9742.669193534617,9936.110195335128,11610.93247671797,9442.004824265825,10665.209665551125,8970.127321765305,9659.926540675315,0.9522966326606408,0.9337568609580671,0.7990668350482164,0.9826208775370957,0.869922988583848,1.0343120820166574,0.9604535838924679
5,2024-12-14,9809.638398802872,9960.507297161148,10067.623546018724,12041.346996280465,9494.82388210985,11026.297125316381,8940.059146389776,9939.5981412918,0.9848532917192606,0.9743747721558508,0.8146628779847503,1.0331564356118492,0.8896584490073226,1.0972677292369206,0.9869250506266405
5,2024-12-21,10964.926898130409,10211.012612792125,10235.295479404413,12519.85347792244,9572.634823107473,11431.409493209958,8916.4805164764,10251.922685847918,1.0738334496222046,1.0712858187820928,0.8758031327975208,1.1454450212246756,0.959192906582812,1.2297371006271778,1.0695483407484865
5,2024-12-28,11835.060470934748,10554.065012697252,10538.566417687378,13016.852984712239,9796.579072921551,11889.660352566236,9035.449583725724,10655.775430058397,1.121374603690272,1.123023758817082,0.9092105814542534,1.2080809416062088,0.9954077845781606,1.3098474360646721,1.1106709735595366
5,2025-01-04,11077.022245078171,10900.412702406846,10886.278908837667,13354.000479771126,10144.546251512471,12222.53730999446,9374.774765504018,10983.541655756553,1.016202096883206,1.0175214449159167,0.8294909275956548,1.0919189454557099,0.9062784562760472,1.1815774268879338,1.0085109696172203
5,2025-01-11,10338.421321277778,10867.276394192555,10870.024739440374,13193.237892404875,10166.682470245563,12111.371757807552,9450.420185266914,10925.471556557817,0.9513350858364662,0.9510945530571105,0.7836151675268004,1.0168923197448958,0.8536127474258357,1.0939641961523834,0.9462677439375444
5,2025-01-18,10817.74354856688,11078.650022411312,11067.063594797743,13352.672348196766,10392.159148865587,12303.925181227092,9700.579595113388,11166.208335969428,0.9764496149515837,0.977471888175644,0.8101556951652289,1.0409524520943993,0.8792107712969697,1.1151646602658936,0.968792917262698
5,2025-02-01,10533.646029758072,10855.354372649348,10896.275337892454,12783.388365912646,10340.011990655059,11862.414806500763,9792.581652169682,10904.763633865025,0.9703640865284107,0.9667198839154407,0.8240104836247023,1.0187266745220425,0.8879849677812222,1.0756760988992313,0.9659673866791173
5,2025-02-08,9035.606081871541,9802.761959055539,9938.207602617511,11317.58856640009,9471.835217403992,10511.74259961238,9022.140134914132,9723.130944784363,0.9217408440204632,0.9091786409746317,0.7983684889108489,0.9539446025485216,0.8595726156959673,1.001492544646397,0.9292897661445544
