k_perc,week,mae_adaptive_ensemble2,mae_original_ensemble2,mae_original_ensembleA,mae_original_ensembleB,mae_original_ensembleC,mae_original_ensembleD,mae_original_ensembleE,mae_original_ensembleF,mae_rel_original2,mae_rel_originalA,mae_rel_originalB,mae_rel_originalC,mae_rel_originalD,mae_rel_originalE,mae_rel_originalF
5,2024-11-30,0.5757318688856753,0.6690989165854384,0.7272634103327236,0.7045800169953,0.7062376490464325,0.6662943057879696,0.6818523305007043,0.6259634430815234,0.8604585280510749,0.7916414612723023,0.8171277285735393,0.8152098230150048,0.8640804279496374,0.8443644512630739,0.9197531824725008
5,2024-12-07,0.5802480114941769,0.6612795553803182,0.7052115011948997,0.7038066324969583,0.6789909974929058,0.6626501460223979,0.6503059515778812,0.619253472967091,0.877462499442406,0.8227999834248498,0.8244423747977178,0.8545739393256675,0.8756476022485691,0.89226926200857,0.9370121231843508
5,2024-12-14,0.5828357971462813,0.6547704823563355,0.6856191321149804,0.7075767826075864,0.6527206805202201,0.6627483170186173,0.6162641380035772,0.6150347393775207,0.8901375563675665,0.8500868337036692,0.8237067855708814,0.8929329413643821,0.8794225231203551,0.9457564722724433,0.947646953627647
5,2024-12-21,0.6051187662547624,0.6525644633518154,0.6749293563933939,0.7191938736501466,0.63457779273877,0.6694409462441038,0.5897421867034424,0.6159743048337797,0.9272934709724244,0.8965660783942234,0.8413847620580868,0.9535769659431893,0.9039165734480079,1.0260733925739185,0.9823766373145277
5,2024-12-28,0.6216668445721986,0.6669782227938256,0.6879027322896547,0.7326391489213943,0.6398021236852431,0.6861036383254295,0.5864341026678792,0.635160096679871,0.9320646811648099,0.903713294615079,0.8485307473500818,0.9716548625869107,0.9060830024010635,1.0600796265838466,0.9787561401004176
5,2025-01-04,0.5866783809115601,0.6899036686623494,0.7129366969153952,0.7427515145915803,0.6679473026422131,0.698665911569926,0.6182753647372671,0.6515365723490321,0.8503772447667479,0.8229038895737776,0.7898716722700448,0.8783303392211095,0.8397123305948532,0.9488949655318485,0.9004534907324787
5,2025-01-11,0.5741731143755089,0.7059733659965347,0.7311741342377278,0.7496664062796435,0.6864209225012847,0.7081786036802561,0.6376574659222835,0.6648951706373089,0.8133070481561584,0.785275473364635,0.7659048205520477,0.8364737955294977,0.8107744450222745,0.900441294990637,0.8635543462064224
5,2025-01-18,0.5974999799681296,0.7248656387025295,0.7491291998158791,0.7624710282988505,0.7058231680025647,0.7251809231525758,0.6590337841168288,0.6881249499554626,0.82429066583653,0.7975926984490568,0.783636305895074,0.8465292824816407,0.8239322917798508,0.9066302735433198,0.8683015780881097
5,2025-02-01,0.6387716923375303,0.7565339437216154,0.7712779394310713,0.7888524976009939,0.7347695838550147,0.7591066948701098,0.7023006967627373,0.727303682901091,0.8443397651071972,0.8281990961762974,0.8097479494330316,0.8693496660356769,0.8414781435260955,0.9095415899228854,0.878273694132248
5,2025-02-08,0.6570142526935697,0.755245709450207,0.7724735733360799,0.7895659641481388,0.7410352868399456,0.7561292398075787,0.7167786961114582,0.7247826599899344,0.8699344391798711,0.8505329830975624,0.8321207885428814,0.8866166893284215,0.8689179284493322,0.9166207872218971,0.9064983048886602
