date,location,location_name,hospitalizations,weekly_rate,horizon
2024-11-30,US,US,4270.0,1.27495076025209,3
2024-12-07,US,US,6276.0,1.87390889258598,4
2024-12-14,US,US,9143.0,2.72994726018381,5
2024-12-21,US,US,15381.0,4.5925099867535,6
2024-12-28,US,US,27617.0,8.24597544400048,7
2025-01-04,US,US,38641.0,11.5375579219909,8
2025-01-11,US,US,30672.0,9.15814747504736,9
2025-01-18,US,US,32936.0,9.83414010296556,10
2025-01-25,US,US,40555.0,12.1090463892327,11
2025-02-01,US,US,51104.0,15.2588017920194,12
2025-02-08,US,US,54081.0,16.1476843244013,13
2025-02-15,US,US,46005.0,13.7363254626224,14
2025-02-22,US,US,37610.0,11.2297185229698,15
2025-03-01,US,US,30721.0,9.17277805754205,16
2025-03-08,US,US,23932.0,7.14569592373609,17
2025-03-15,US,US,18345.0,5.47751093602451,18
2025-03-22,US,US,13600.0,4.06073310056873,19
2025-03-29,US,US,9653.0,2.88222475145514,20
2025-04-05,US,US,6730.0,2.00946571814908,21
2025-04-12,US,US,4860.0,1.45111491682088,22
2025-04-19,US,US,3814.0,1.13879676805655,23
2025-04-26,US,US,3219.0,0.961139694906672,24
2025-05-03,US,US,2437.0,0.72764754162397,25
2025-05-10,US,US,2105.0,0.628517880639498,26
2025-05-17,US,US,1794.0,0.53565846929561,27
2025-05-24,US,US,1652.0,0.493259638392613,28
2025-05-31,US,US,1632.0,0.487287972068247,29
