,0.05,0.15,0.25,0.5,0.75
2023-11-11,0.4594594594594595,0.5758754863813229,0.6343825665859564,0.7958097771865646,0.906330901388562
2023-11-18,0.48760330578512395,0.6135458167330677,0.683291770573566,0.8102581293999329,0.9157994323557237
2023-11-25,0.5517241379310345,0.6632443531827515,0.7396907216494846,0.8518518518518519,0.9485205677171037
2023-12-02,0.5652173913043478,0.6875,0.8145161290322581,0.9340974212034384,0.9584139264990329
2023-12-09,0.6615384615384615,0.7763157894736842,0.8711018711018711,0.9299499642601858,0.9622093023255814
2023-12-16,0.6927899686520376,0.7940199335548173,0.8305084745762712,0.9210245464247598,0.9560492634629316
2023-12-23,0.6875,0.7666303162486369,0.8194070080862533,0.9210245464247598,0.9424460431654677
2023-12-30,0.6314199395770392,0.7052631578947368,0.7928286852589641,0.8881118881118881,0.9508670520231214
2024-01-06,0.5789473684210527,0.7608695652173914,0.786896095301125,0.9067796610169492,0.9607843137254902
2024-01-13,0.6167664670658682,0.7763157894736842,0.8169582772543742,0.9054340155257586,0.948051948051948
2024-01-20,0.6718266253869969,0.7666303162486369,0.8243243243243243,0.8920812894183602,0.9541616405307599
2024-01-27,0.5882352941176471,0.7161016949152542,0.8305084745762712,0.9027484143763214,0.9669742593491987
2024-02-03,0.6513761467889908,0.7551462621885157,0.8060200668896321,0.9217081850533808,0.9703235222573583
2024-02-10,0.7252396166134185,0.7980022197558269,0.8230925050641459,0.9251336898395722,0.9664967225054625
2024-02-17,0.758957654723127,0.8472063854047891,0.8430034129692833,0.9327129563350036,0.9669742593491987
2024-02-24,0.7940199335548173,0.8305084745762712,0.875,0.9354838709677419,0.968886728245017
2024-03-02,0.7763157894736842,0.8599311136624569,0.8973998594518623,0.9327129563350036,0.9645888915837982
2024-03-09,0.8305084745762712,0.8925233644859814,0.9148936170212766,0.948051948051948,0.9741652449427248
2024-03-16,0.8815331010452961,0.9058823529411765,0.9189765458422174,0.9614965492190338,0.9794721407624634
2024-03-23,0.9285714285714286,0.9541616405307599,0.9452449567723343,0.9614965492190338,0.9809244314013206
2024-03-30,0.9285714285714286,0.9424460431654677,0.9636363636363636,0.9629225736095965,0.9852941176470589
2024-04-06,0.9565217391304348,0.9565217391304348,0.9650655021834061,0.9801980198019802,0.9891944990176817
2024-04-13,0.9708029197080292,0.980440097799511,0.9765739385065886,0.978746793697325,0.9940915805022157
2024-04-20,0.9636363636363636,0.968408262454435,0.9664967225054625,0.9896831245394252,0.9945826151194287
