,0.05,0.15,0.25,0.5,0.75
2023-11-11,0.40992167101827676,0.5576923076923077,0.6177351707609346,0.7786561264822134,0.9171597633136095
2023-11-18,0.4673913043478261,0.5712900096993211,0.6473459426479561,0.7874875868917577,0.9023015500234852
2023-11-25,0.47540983606557374,0.6151545363908275,0.7121116043119848,0.8795683954054995,0.9410496046010065
2023-12-02,0.5340909090909091,0.6735537190082644,0.8280297901150981,0.9162526614620298,0.9503973031543462
2023-12-09,0.5929203539823009,0.7419354838709677,0.8169582772543742,0.9258202567760342,0.9551049963794352
2023-12-16,0.6314199395770392,0.7307692307692307,0.7916390179163901,0.9074531967502649,0.9373355656541498
2023-12-23,0.5561959654178674,0.6752843846949328,0.758957654723127,0.8835019183815835,0.948051948051948
2023-12-30,0.4323607427055703,0.5851272015655578,0.6770186335403726,0.8398637137989778,0.9485205677171037
2024-01-06,0.4594594594594595,0.6135458167330677,0.7263427109974424,0.8524871355060034,0.9221642145230186
2024-01-13,0.6513761467889908,0.7438105489773951,0.7940199335548173,0.8973998594518623,0.9410496046010065
2024-01-20,0.6216216216216216,0.7802197802197802,0.8267929634641408,0.9061066007765619,0.9612590799031477
2024-01-27,0.5168539325842697,0.6632443531827515,0.8060200668896321,0.9101521047046339,0.9660194174757282
2024-02-03,0.6666666666666666,0.7802197802197802,0.7857142857142857,0.9299499642601858,0.968408262454435
2024-02-10,0.7142857142857143,0.7724288840262582,0.8181818181818182,0.9251336898395722,0.9708029197080292
2024-02-17,0.7197452229299363,0.8202247191011236,0.8367346938775511,0.9327129563350036,0.9732034104750305
2024-02-24,0.7940199335548173,0.8388195232690124,0.8841591067690161,0.9299499642601858,0.9760917296901683
2024-03-02,0.8493150684931506,0.8903150525087514,0.8960674157303371,0.9431450161928752,0.9727228446176327
2024-03-09,0.8815331010452961,0.9126328217237308,0.924447612259444,0.9629225736095965,0.9814090019569471
2024-03-16,0.9285714285714286,0.9401197604790419,0.9299499642601858,0.9664967225054625,0.9852941176470589
2024-03-23,0.9636363636363636,0.9660194174757282,0.9452449567723343,0.9693654266958425,0.992619926199262
2024-03-30,0.9708029197080292,0.9708029197080292,0.9664967225054625,0.9794721407624634,0.996057171020207
2024-04-06,0.9565217391304348,0.975609756097561,0.9794721407624634,0.9874861980125138,0.9940915805022157
2024-04-13,0.9852941176470589,0.9852941176470589,0.9867549668874173,0.9882179675994109,0.9985196150999259
2024-04-20,0.978021978021978,0.980440097799511,0.9867549668874173,0.992619926199262,0.9990128331688055
