,0.05,0.15,0.25,0.5,0.75
2023-11-04,1.0,1.0,1.0,1.0,1.0
2023-11-11,0.40992167101827676,0.5576923076923077,0.6177351707609346,0.7786561264822134,0.9171597633136095
2023-11-18,0.2765957446808511,0.41114982578397213,0.46579804560260585,0.6250376166114956,0.837568058076225
2023-11-25,0.19205298013245034,0.32678132678132676,0.40625,0.5629522431259045,0.8020022246941045
2023-12-02,0.1464968152866242,0.26859827721221613,0.3684744044602129,0.5280135823429541,0.7778753292361721
2023-12-09,0.10655737704918032,0.21712997746055598,0.32612966601178783,0.5050167224080268,0.7593397046046916
2023-12-16,0.08870967741935484,0.17136659436008678,0.2808349146110057,0.4880132267842381,0.7423101742310174
2023-12-23,0.06719367588932806,0.13365990202939118,0.22727272727272727,0.4685885232526516,0.7337328767123288
2023-12-30,0.05058365758754864,0.10204081632653061,0.183691363437089,0.434643995749203,0.7248722316865417
2024-01-06,0.04247104247104247,0.08072048032021348,0.15089514066496162,0.3888888888888889,0.6906700062617408
2024-01-13,0.04247104247104247,0.07569721115537849,0.13636363636363635,0.35508155583437895,0.6694146743610883
2024-01-20,0.034482758620689655,0.07641196013289037,0.12781954887218044,0.3353115727002967,0.6591560835723065
2024-01-27,0.013133208255159476,0.06299212598425197,0.12406328059950042,0.3280865715691097,0.6577977896029472
2024-02-03,0.011235955056179775,0.05537459283387622,0.11386138613861387,0.3232050967900025,0.6530612244897959
2024-02-10,0.009345794392523364,0.05126541207008436,0.11202635914332784,0.31643100926377377,0.6480162767039674
2024-02-17,0.013133208255159476,0.05263157894736842,0.10791957324579401,0.3173944864601122,0.6406724731618392
2024-02-24,0.011235955056179775,0.0546875,0.10746513535684987,0.3141883669992699,0.6366942816730653
2024-03-02,0.013133208255159476,0.0560625814863103,0.10882956878850103,0.3135490148382389,0.6291230893000804
2024-03-09,0.01694915254237288,0.0560625814863103,0.10837438423645321,0.314508276533593,0.6235718580877931
2024-03-16,0.01694915254237288,0.05537459283387622,0.10610405571487096,0.3135490148382389,0.6187050359712231
2024-03-23,0.01694915254237288,0.05675146771037182,0.10655737704918032,0.31291028446389496,0.6180583300039952
2024-03-30,0.01694915254237288,0.05537459283387622,0.10610405571487096,0.31227217496962334,0.6177351707609346
2024-04-06,0.022727272727272728,0.05537459283387622,0.10565110565110565,0.3141883669992699,0.6170892393691355
2024-04-13,0.022727272727272728,0.05537459283387622,0.1051985264019648,0.3141883669992699,0.6167664670658682
2024-04-20,0.022727272727272728,0.05675146771037182,0.10565110565110565,0.31386861313868614,0.6167664670658682
