,0.05,0.15,0.25,0.5,0.75
2024-12-07,0.2773109243697479,0.40307692307692305,0.5064420218037661,0.7417876241405653,0.8929016189290162
2024-12-14,0.5149501661129569,0.6373429084380611,0.7558721601848286,0.8835192069392813,0.9437340153452686
2024-12-21,0.5431472081218274,0.6805896805896806,0.7896389324960753,0.906753083838595,0.9509412435824302
2024-12-28,0.6344086021505376,0.7952755905511811,0.8498985801217038,0.9191919191919192,0.9554030874785592
2025-01-04,0.5724137931034483,0.7674418604651163,0.8409366168752523,0.9260823653643083,0.9621342512908778
2025-01-11,0.21762349799732977,0.4016393442622951,0.5877437325905293,0.8339030766137141,0.9240506329113924
2025-01-18,0.3652694610778443,0.5554292211483798,0.7201056205205583,0.9155639571518589,0.9562419562419563
2025-01-25,0.7078651685393258,0.8855961405926946,0.9363057324840764,0.9680621493310315,0.9808861859252823
2025-02-01,0.6028119507908611,0.7777777777777778,0.8506493506493507,0.9445628997867804,0.975736568457539
2025-02-08,0.6198934280639432,0.7905759162303665,0.8597063621533442,0.9604471195184867,0.9805993919212393
2025-02-15,0.7952755905511811,0.8586956521739131,0.8952618453865336,0.954146132419113,0.9828960718944775
2025-02-22,0.7952755905511811,0.8908085694540429,0.9191919191919192,0.9591836734693877,0.9883720930232558
2025-03-01,0.8650306748466258,0.9294781382228491,0.9412515964240102,0.964670400689358,0.9883720930232558
2025-03-08,0.8842975206611571,0.9335689045936396,0.964670400689358,0.9714656290531777,0.988950276243094
2025-03-15,0.9240506329113924,0.9570815450643777,0.9731717871051493,0.9856303069888962,0.9927166788055353
2025-03-22,0.9404255319148936,0.9683453237410072,0.9731717871051493,0.9830397912589693,0.9941690962099126
2025-03-29,0.974025974025974,0.9840464104423495,0.993006993006993,0.9956236323851203,0.9976635514018691
2025-04-05,0.974025974025974,0.9883720930232558,0.9921363040629095,0.9960604070912672,0.9988310929281122
2025-04-12,0.9869281045751634,0.9941690962099126,0.9964973730297724,0.9982471516213848,0.9985390796201608
2025-04-19,0.9956236323851203,0.9985390796201608,0.9982471516213848,0.9991231915826392,0.9997076450811285
2025-04-26,0.9956236323851203,0.997080291970803,0.9991231915826392,0.9995614996711247,0.9997076450811285
2025-05-03,0.9956236323851203,0.9985390796201608,1.0,0.9995614996711247,0.9994153756211634
