,0.05,0.15,0.25,0.5,0.75
2023-11-04,1.0,1.0,1.0,1.0,1.0
2023-11-11,0.4594594594594595,0.5758754863813229,0.6343825665859564,0.7958097771865646,0.906330901388562
2023-11-18,0.3106796116504854,0.4298323036187114,0.49336283185840707,0.6483516483516484,0.8388195232690124
2023-11-25,0.2558139534883721,0.3602015113350126,0.43617021276595747,0.5611448395490026,0.8060200668896321
2023-12-02,0.1894273127753304,0.29703763010408324,0.396792550439731,0.5297450424929179,0.7794376098418277
2023-12-09,0.16129032258064516,0.26365054602184085,0.3726487036095577,0.507537688442211,0.7581940525287606
2023-12-16,0.12266112266112267,0.2338156892612338,0.33136094674556216,0.48514851485148514,0.7449375269280483
2023-12-23,0.10429447852760736,0.20535714285714285,0.29124820659971307,0.4782370654256775,0.7289220917822838
2023-12-30,0.08651911468812877,0.16883116883116883,0.2563983248022336,0.4721919302071974,0.7219387755102041
2024-01-06,0.06299212598425197,0.1456859971711457,0.2250453720508167,0.4555256064690027,0.7164653528289892
2024-01-13,0.05675146771037182,0.1289198606271777,0.200533570475767,0.42480211081794195,0.7049042306882761
2024-01-20,0.05675146771037182,0.11187371310912834,0.1774967291757523,0.39462809917355374,0.6959798994974874
2024-01-27,0.05058365758754864,0.09979633401221996,0.1693373754872239,0.3782542113323124,0.6892596454640251
2024-02-03,0.022727272727272728,0.08870967741935484,0.15681233933161953,0.35985897758750945,0.6822429906542056
2024-02-10,0.01694915254237288,0.07498341074983411,0.15433946130825138,0.34898825880589557,0.6721717588769612
2024-02-17,0.018867924528301886,0.07569721115537849,0.14991482112436116,0.3422818791946309,0.6642695705773577
2024-02-24,0.020793950850661626,0.07641196013289037,0.14455277660025434,0.341948310139165,0.656441717791411
2024-03-02,0.018867924528301886,0.08288770053475936,0.14020270270270271,0.33961796080377077,0.6486871565235091
2024-03-09,0.018867924528301886,0.08288770053475936,0.14116652578191038,0.3369645951968309,0.6436688311688312
2024-03-16,0.024667931688804556,0.08,0.13780025284450062,0.33300419649469265,0.6396761133603239
2024-03-23,0.024667931688804556,0.07856191744340879,0.13827993254637436,0.3316892725030826,0.6366942816730653
2024-03-30,0.024667931688804556,0.08,0.14068441064638784,0.3320177602368032,0.6337232755143203
2024-04-06,0.024667931688804556,0.08,0.13972140143520473,0.33103278284446636,0.6307630360378498
2024-04-13,0.024667931688804556,0.07928047968021319,0.14068441064638784,0.32972174341295246,0.6307630360378498
2024-04-20,0.024667931688804556,0.07712765957446809,0.1416490486257928,0.32906719173024856,0.6310914216673379
