,0.05,0.15,0.25,0.5,0.75
2024-11-30,1.0,1.0,1.0,1.0,1.0
2024-12-07,0.2773109243697479,0.40307692307692305,0.5064420218037661,0.7417876241405653,0.8929016189290162
2024-12-14,0.23243243243243245,0.31982633863965265,0.43081267649827426,0.6780128794848206,0.8521527213647441
2024-12-21,0.18904823989569752,0.28934967012252594,0.4087117701575533,0.6596906278434941,0.8337801608579088
2024-12-28,0.16326530612244897,0.26374133949191686,0.37060414788097384,0.6306096906847846,0.8150457741807086
2025-01-04,0.1486146095717884,0.25045703839122485,0.35071090047393366,0.6118769883351007,0.8018967334035827
2025-01-11,0.11219512195121951,0.25850965961361544,0.37142857142857144,0.629735525375268,0.8052256532066508
2025-01-18,0.11219512195121951,0.2707849512308407,0.33881385789782736,0.6101694915254238,0.788235294117647
2025-01-25,0.11491442542787286,0.26549491211840887,0.3317757009345794,0.6014047410008779,0.7800910865322056
2025-02-01,0.0831353919239905,0.2302158273381295,0.31374243733794294,0.5924567836563646,0.7775467775467776
2025-02-08,0.07928994082840236,0.20848056537102475,0.3032294941411832,0.5816857440166493,0.7770849571317225
2025-02-15,0.0831353919239905,0.1859557867360208,0.28342245989304815,0.5729561917902725,0.7777777777777778
2025-02-22,0.08056872037914692,0.17223650385604114,0.2635078969243558,0.5600410537119398,0.7775467775467776
2025-03-01,0.07928994082840236,0.1622769753610875,0.24863088718510407,0.5494393476044852,0.7789336801040312
2025-03-08,0.07674144037780402,0.15785019043588658,0.2398042414355628,0.5439309294057897,0.7777777777777778
2025-03-15,0.07547169811320754,0.15491768678767412,0.23443421765024364,0.5410611693139574,0.7750097314130011
2025-03-22,0.07547169811320754,0.1539434837621257,0.23410013531799728,0.5387211067993926,0.7736289381563594
2025-03-29,0.07547169811320754,0.1529709228824273,0.23243243243243245,0.5382020576825771,0.7731691510045366
2025-04-05,0.07547169811320754,0.1529709228824273,0.23176661264181522,0.5374241402562373,0.7731691510045366
2025-04-12,0.07547169811320754,0.15248525695029486,0.23176661264181522,0.5374241402562373,0.7731691510045366
2025-04-19,0.07547169811320754,0.15248525695029486,0.2314339724547664,0.537683358624178,0.7731691510045366
2025-04-26,0.07547169811320754,0.152,0.23110151187904968,0.5374241402562373,0.7729393468118196
2025-05-03,0.07547169811320754,0.152,0.23110151187904968,0.5374241402562373,0.7729393468118196
