,0.05,0.15,0.25,0.5,0.75
2024-12-07,0.28995756718529,0.42574257425742573,0.5457627118644067,0.7558721601848286,0.9095477386934674
2024-12-14,0.5563139931740614,0.6693105552165954,0.7572254335260116,0.9039665970772442,0.9537275064267352
2024-12-21,0.5616438356164384,0.7261829652996845,0.8305901244480128,0.927710843373494,0.9604471195184867
2024-12-28,0.6983240223463687,0.8203592814371258,0.8627450980392157,0.9293420774275439,0.9568016020597911
2025-01-04,0.6432432432432432,0.8119205298013245,0.8719211822660099,0.9338422391857506,0.9621342512908778
2025-01-11,0.3411764705882353,0.5906976744186047,0.7078651685393258,0.8654121497238699,0.9349363507779349
2025-01-18,0.5099337748344371,0.6857670979667283,0.8160095579450418,0.9248628113127902,0.9641062455132807
2025-01-25,0.7272727272727273,0.8524035206499662,0.9,0.9508021390374332,0.9734564339296018
2025-02-01,0.6344086021505376,0.7327422419252692,0.8218138234119057,0.9466382070437567,0.9743108673690287
2025-02-08,0.7640232108317214,0.8461538461538461,0.8905472636815921,0.9706136560069144,0.9849100406268136
2025-02-15,0.8461538461538461,0.8804123711340206,0.9216182048040455,0.9718918918918918,0.9892394939653919
2025-02-22,0.8461538461538461,0.9146256123163051,0.9453924914675768,0.9693370762254373,0.9895287958115183
2025-03-01,0.896049896049896,0.9119496855345912,0.9503849443969205,0.9689119170984456,0.9869281045751634
2025-03-08,0.8921161825726142,0.9322033898305084,0.9487179487179487,0.9684869415065832,0.987794245858762
2025-03-15,0.9079497907949791,0.9528907922912205,0.964670400689358,0.973598788141095,0.988950276243094
2025-03-22,0.9363057324840764,0.9473309608540925,0.9663648124191462,0.9774501300954033,0.9892394939653919
2025-03-29,0.9697624190064795,0.9711815561959655,0.9791666666666666,0.984766050054407,0.9921363040629095
2025-04-05,0.9487179487179487,0.974025974025974,0.974880900822867,0.9864953169244174,0.9956236323851203
2025-04-12,0.974025974025974,0.9783080260303688,0.9826086956521739,0.9921363040629095,0.9956236323851203
2025-04-19,0.9869281045751634,0.9898181818181818,0.9912663755458515,0.994750656167979,0.9976635514018691
2025-04-26,0.9826086956521739,0.9840464104423495,0.9912663755458515,0.9964973730297724,0.9973718791064389
2025-05-03,0.9912663755458515,0.9854862119013063,0.9903972064600611,0.9951870487858236,0.9982471516213848
