,0.05,0.15,0.25,0.5,0.75
2024-11-30,1.0,1.0,1.0,1.0,1.0
2024-12-07,0.28995756718529,0.42574257425742573,0.5457627118644067,0.7558721601848286,0.9095477386934674
2024-12-14,0.2493150684931507,0.3504442250740375,0.44715963186290064,0.708185053380783,0.873972602739726
2024-12-21,0.2192513368983957,0.31412103746397696,0.425,0.6863905325443787,0.855166802278275
2024-12-28,0.20316622691292877,0.2808988764044944,0.39236641221374047,0.6569767441860465,0.8301003344481606
2025-01-04,0.1828793774319066,0.28330206378986866,0.3751507840772014,0.634994621728218,0.8140830128630155
2025-01-11,0.16475095785440613,0.26842837273991654,0.37972768532526474,0.6521739130434783,0.8169743657856289
2025-01-18,0.15151515151515152,0.29178470254957506,0.39663093415007655,0.6468039003250271,0.8102421595871377
2025-01-25,0.1471698113207547,0.2936170212765957,0.39066788655077767,0.634994621728218,0.8028465998945704
2025-02-01,0.10012062726176116,0.2476060191518468,0.35876042908224076,0.6210451475293282,0.7950400209946201
2025-02-08,0.09352517985611511,0.24420190995907232,0.35311572700296734,0.6150168230919072,0.7948045132511152
2025-02-15,0.08700834326579261,0.22690582959641256,0.33022170361726955,0.6113074204946997,0.79315768777035
2025-02-22,0.08185053380782918,0.21061946902654868,0.3179190751445087,0.6053511705685619,0.7922180007860605
2025-03-01,0.08185053380782918,0.19842312746386334,0.3028571428571429,0.6005616005616006,0.7915138816134102
2025-03-08,0.08056872037914692,0.18492854049372023,0.29105322763306907,0.5930131004366812,0.7908103154863202
2025-03-15,0.08056872037914692,0.18083728959861892,0.2823397075365579,0.5885734192649364,0.7891708082657599
2025-03-22,0.07928994082840236,0.17525773195876287,0.2740989103101425,0.581411479105254,0.7880015684224284
2025-03-29,0.07928994082840236,0.17475311292400172,0.27019498607242337,0.5764909248055315,0.788235294117647
2025-04-05,0.08056872037914692,0.17173447537473233,0.26526082130965595,0.5726849456802897,0.7877679038159958
2025-04-12,0.07928994082840236,0.16923076923076924,0.26175982291090205,0.5705183399345617,0.7877679038159958
2025-04-19,0.07801418439716312,0.16923076923076924,0.2593206296603148,0.5694372741352607,0.7875343002744022
2025-04-26,0.07674144037780402,0.16723549488054607,0.2579310344827586,0.5678184631253224,0.7875343002744022
2025-05-03,0.07674144037780402,0.16624040920716113,0.256198347107438,0.5664720027481965,0.7873007577737131
