n_bootstrap,k_perc,week,wis_adaptive_ensemble2,wis_original_ensemble2,wis_rel_original2
0,5,2024-11-30,7893.633820732624,8059.021097013888,0.9794779943754528
0,5,2024-12-07,7993.346942886773,8217.24843648712,0.9727522545617393
0,5,2024-12-14,9138.842960966262,8370.062533978758,1.0918488271582911
0,5,2024-12-21,9365.900175143812,8533.872453316377,1.0974970889685722
0,5,2024-12-28,9995.0691794949,8743.795070724873,1.1431042354777299
0,5,2025-01-04,9225.46718197008,8938.832174999454,1.0320662701076657
0,5,2025-01-11,8764.519571641575,8847.9558052144,0.9905699988325378
0,5,2025-01-18,9071.698862567815,8930.707549576666,1.0157872500256524
0,5,2025-01-25,9075.851162754609,8915.688888232493,1.0179640941412287
0,5,2025-02-01,8573.421798567819,8575.64623506543,0.9997406100442303
0,5,2025-02-08,7291.6625394546545,7667.202009497036,0.9510200110056816
0,5,2025-02-15,5872.728738887064,6356.631807832168,0.9238742963924896
0,5,2025-02-22,4777.546193478656,5222.838080252835,0.9147413953999848
0,5,2025-03-01,3833.738846485849,4268.4601181197295,0.8981550115020457
0,5,2025-03-08,3022.0153670336244,3399.268236578182,0.8890193879126429
0,5,2025-03-15,2280.87559446453,2673.821546155194,0.8530395746658193
0,5,2025-03-22,1755.7375833714084,2105.8047852120076,0.8337608479670373
0,5,2025-03-29,1339.0931947502083,1674.8431929066332,0.7995334729971095
0,5,2025-04-05,1085.34254126441,1373.4654413237092,0.7902219514299436
0,5,2025-04-12,965.9527228933347,1180.3548927643233,0.8183578759360491
0,5,2025-04-19,927.1115937848753,1068.505856237248,0.867671045856226
0,5,2025-04-26,885.9963569555798,985.4794927131933,0.8990510340466655
0,5,2025-05-03,834.2913965455591,898.4576076713778,0.9285818155715497
0,5,2025-05-10,817.4587207593959,859.4871515746861,0.9511005711507275
0,5,2025-05-17,812.7672022861287,839.3829232045381,0.9682913242780807
0,5,2025-05-24,854.4418200661803,868.5625442106866,0.9837424210396516
0,15,2024-11-30,7654.578642336128,8059.021097013888,0.9498149403247476
0,15,2024-12-07,8062.146803511928,8217.24843648712,0.9811248699398581
0,15,2024-12-14,8401.103742293484,8370.062533978758,1.0037085993310937
0,15,2024-12-21,9209.9988131322,8533.872453316377,1.0792285522796947
0,15,2024-12-28,9776.038747353985,8743.795070724873,1.1180544223966513
0,15,2025-01-04,9658.964259651937,8938.832174999454,1.0805622110980653
0,15,2025-01-11,9098.606121686393,8847.9558052144,1.0283286130706344
0,15,2025-01-18,9276.270030521398,8930.707549576666,1.038693740560468
0,15,2025-01-25,9326.873096013593,8915.688888232493,1.0461191740689615
0,15,2025-02-01,8927.395054552388,8575.64623506543,1.0410171793291418
0,15,2025-02-08,7706.9459870692,7667.202009497036,1.0051836351152525
0,15,2025-02-15,6171.485504223414,6356.631807832168,0.9708735208824537
0,15,2025-02-22,5043.477178661312,5222.838080252835,0.9656583453602221
0,15,2025-03-01,4119.173687800786,4268.4601181197295,0.9650256940002278
