n_bootstrap,k_perc,week,mae_adaptive_ensemble2,mae_original_ensemble2,mae_rel_original2
0,5,2024-11-30,0.5856296620801131,0.6382589908953155,0.9175423620098532
0,5,2024-12-07,0.5877280270988668,0.6334039303904397,0.9278881909314683
0,5,2024-12-14,0.6071307028292172,0.6307410944751495,0.9625672215545447
0,5,2024-12-21,0.6092198861651522,0.6320285286076117,0.9639120049015698
0,5,2024-12-28,0.625568467977827,0.6482252497119664,0.9650479802442025
0,5,2025-01-04,0.5980343590020912,0.6697399297222766,0.8929352013550697
0,5,2025-01-11,0.5822561733197713,0.6847538468713099,0.8503145706740343
0,5,2025-01-18,0.6079794994943012,0.7024681057315056,0.8654905390490149
0,5,2025-01-25,0.6322867424045145,0.7181810800734941,0.8804001664034512
0,5,2025-02-01,0.6602970209497657,0.7285110464509235,0.9063651459597284
0,5,2025-02-08,0.671103809168179,0.724125646764653,0.9267781249934012
0,5,2025-02-15,0.6809264069954334,0.7198949223490625,0.945869162090389
0,5,2025-02-22,0.6920854797533369,0.7224754217331999,0.9579363656317078
0,5,2025-03-01,0.7060386568997652,0.7276045820853675,0.9703603774404598
0,5,2025-03-08,0.719107695008352,0.7285798192409775,0.9869991948960467
0,5,2025-03-15,0.7199666332558214,0.7290225192540388,0.987578043532203
0,5,2025-03-22,0.7344592635151007,0.7311080243797805,1.0045837810878402
0,5,2025-03-29,0.7380904920910166,0.7325978635239819,1.0074974673562571
0,5,2025-04-05,0.7347038999784044,0.7363537160517424,0.9977594788518429
0,5,2025-04-12,0.7430679054348578,0.7380368633750372,1.0068167896611746
0,5,2025-04-19,0.7498958712485145,0.7450172396631887,1.006548347240302
0,5,2025-04-26,0.7507019232340174,0.7528840571844688,0.997101633472474
0,5,2025-05-03,0.7541799387866209,0.7548091870605881,0.9991663478866525
0,5,2025-05-10,0.7703226354139914,0.764382825887455,1.0077707260359234
0,5,2025-05-17,0.7882351755822514,0.7820354882295695,1.0079276291753936
0,5,2025-05-24,0.8343709667417127,0.820414894419761,1.0170109933606486
0,15,2024-11-30,0.5794908094653489,0.6382589908953155,0.9079242403659216
0,15,2024-12-07,0.5868433516096611,0.6334039303904397,0.9264914905847237
0,15,2024-12-14,0.5912607962171608,0.6307410944751495,0.9374064911834531
0,15,2024-12-21,0.6098869674738031,0.6320285286076117,0.9649674656576223
0,15,2024-12-28,0.6282303442559386,0.6482252497119664,0.9691543865887478
0,15,2025-01-04,0.6175770913529254,0.6697399297222766,0.9221147850763777
0,15,2025-01-11,0.6113387064815502,0.6847538468713099,0.8927860855032814
0,15,2025-01-18,0.6319228802267635,0.7024681057315056,0.8995751907749877
0,15,2025-01-25,0.6539502178151896,0.7181810800734941,0.9105645302550555
0,15,2025-02-01,0.6757670833299287,0.7285110464509235,0.9276003248297378
0,15,2025-02-08,0.6893179331063055,0.724125646764653,0.9519313895124885
0,15,2025-02-15,0.68949546651303,0.7198949223490625,0.957772370810955
0,15,2025-02-22,0.6976110414694496,0.7224754217331999,0.9655844620927017
0,15,2025-03-01,0.7075127867827465,0.7276045820853675,0.9723863815631336
0,15,2025-03-08,0.7112425099798615,0.7285798192409775,0.9762039672205336
0,15,2025-03-15,0.7050860031319769,0.7290225192540388,0.9671662870626347
0,15,2025-03-22,0.7177563215357265,0.7311080243797805,0.9817377153596685
0,15,2025-03-29,0.7222912102274437,0.7325978635239819,0.9859313631533668
0,15,2025-04-05,0.7255410788432096,0.7363537160517424,0.9853159738684975
