horizon,k_perc,round,wis_adaptive,wis_baseline,wis_flusight,wis_adaptive_baseline,wis_adaptive_flusight
0,5,6,102.20275883428288,322.9998384749066,162.26473709035287,0.31641736824652583,0.629851936205794
0,5,7,96.96809140995852,401.42773288124147,197.62161419803783,0.24155802767778775,0.4906755356870337
0,5,8,109.25336090233284,422.4832205056832,162.14617510424785,0.25859810662199584,0.6737954862770652
0,5,9,169.35204515910846,350.56639130434775,221.68506396998887,0.4830812347099291,0.7639307859822025
0,5,10,372.0511927704954,600.1368260869563,370.4199153614316,0.6199439471101335,1.0044038598936347
0,5,11,451.1467157712257,586.394652173913,299.84234524175196,0.7693568044979792,1.5046130839441056
0,5,12,437.02521507329226,649.8439565217388,285.2654661311482,0.6725079316155381,1.5319948152166933
0,5,13,628.1111688981094,1163.8673894804163,646.890047959443,0.5396758896892164,0.9709705240935923
0,5,14,605.4890291092136,1085.6129999999998,477.5339201667119,0.5577392948584935,1.2679497801911774
0,5,15,923.4127069444453,2106.162695652174,1261.8196230087588,0.4384337016559446,0.7318103872426744
0,5,16,1881.2172585278017,4396.740869565217,2633.953744048019,0.42786630241273027,0.7142180316487386
0,5,17,2901.5044714137084,4968.583043478266,2244.572284450723,0.5839702076072185,1.2926758881920994
0,5,18,3661.930588861871,1640.1384473931694,3342.5761795710728,2.2326960231205675,1.0955414004451436
0,5,19,4361.186749479339,3349.9286956521746,2910.183803363181,1.3018745011318187,1.498594949377181
0,5,20,3133.955581483268,2217.00347826087,1163.6140415431237,1.41359975850904,2.69329474344189
0,5,21,1476.9063338793003,399.87295652173884,1123.7951187984381,3.6934389030107098,1.3142131596535218
0,5,22,1975.2844309259578,833.5344347826087,,2.3697694402284952,
0,5,23,1946.6260743066623,398.08175410449724,956.6009717096115,4.8900158176947475,2.034940515299399
0,5,24,1045.8544808628274,427.801130434782,848.5044947431538,2.444721171727402,1.2325856696603739
0,5,25,881.5515873587436,371.66895652173883,747.2539042610791,2.3718730657753544,1.17972162116766
0,5,26,1068.1552306806748,622.8434782608689,1174.681714732883,1.714965746551967,0.9093145975491482
0,5,27,734.4921265341914,1053.14852173913,694.8328779448387,0.6974250178135165,1.0570773920581533
0,5,28,691.1190420670617,1464.75472278201,741.5419898048693,0.47183260877590394,0.9320025724354787
0,5,29,516.5935425274413,1107.7787826086956,560.2569866437112,0.4663327648422017,0.922065328666687
0,5,30,844.8980987751517,519.6662608695648,499.00110421743375,1.62584751482879,1.6931788159069834
0,5,31,796.6780410885166,498.40052173912994,420.75207547931296,1.5984695166621623,1.893461939982009
0,15,6,167.32565090722693,322.9998384749066,162.26473709035287,0.5180363299786177,1.0311892399274405
0,15,7,158.28182151390098,401.42773288124147,197.62161419803783,0.3942971761762338,0.8009337549246298
0,15,8,172.91927926433254,422.4832205056832,162.14617510424785,0.40929265559318573,1.066440692499582
0,15,9,253.50202398106651,350.56639130434775,221.68506396998887,0.7231212981879549,1.1435232461821827
0,15,10,466.41039768343063,600.1368260869563,370.4199153614316,0.777173433472737,1.2591396367777303
0,15,11,609.3422706417718,586.394652173913,299.84234524175196,1.0391334033876098,2.0322088601277493
0,15,12,645.8173237605168,649.8439565217388,285.2654661311482,0.9938036928391635,2.2639169490765076
0,15,13,830.1317982342603,1163.8673894804163,646.890047959443,0.71325290641991,1.283265681475294
0,15,14,806.5981193891433,1085.6129999999998,477.5339201667119,0.7429886335085739,1.6890907332981746
0,15,15,1069.3364849628804,2106.162695652174,1261.8196230087588,0.5077178924355413,0.8474559005613576
0,15,16,2205.2818573679824,4396.740869565217,2633.953744048019,0.5015719422159299,0.837251550962612
0,15,17,3338.6161285163234,4968.583043478266,2244.572284450723,0.6719453210908032,1.4874175145280863
0,15,18,3090.083904229217,1640.1384473931694,3342.5761795710728,1.8840384536687047,0.9244617738602277
0,15,19,3948.1237375192923,3349.9286956521746,2910.183803363181,1.178569484969488,1.356657862282309
0,15,20,3302.8911335795756,2217.00347826087,1163.6140415431237,1.4897997075631704,2.8384765185537426
0,15,21,2194.0710316391346,399.87295652173884,1123.7951187984381,5.4869202726887965,1.95237636730887
0,15,22,2418.8594513958606,833.5344347826087,,2.9019310426289886,
0,15,23,2126.5054049809974,398.08175410449724,956.6009717096115,5.3418811162663475,2.222980603062282
0,15,24,1677.9011269246275,427.801130434782,848.5044947431538,3.9221521579883305,1.9774805405509794
0,15,25,1465.0087040766355,371.66895652173883,747.2539042610791,3.941703169903961,1.9605233184098343
0,15,26,1491.984605694694,622.8434782608689,1174.681714732883,2.395440680956762,1.2701181834893585
0,15,27,1224.9433247201998,1053.14852173913,694.8328779448387,1.1631249528768974,1.762932301567695
0,15,28,1031.3774873817956,1464.75472278201,741.5419898048693,0.7041298255197972,1.3908551391043873
0,15,29,769.8794031470153,1107.7787826086956,560.2569866437112,0.6949757616173466,1.3741540426993568
0,15,30,974.8285611166664,519.6662608695648,499.00110421743375,1.875874257230924,1.9535599277790305
0,15,31,1098.396867030043,498.40052173912994,420.75207547931296,2.2038437343469712,2.6105560282234372
0,25,6,222.70407818090564,322.9998384749066,162.26473709035287,0.6894866549544953,1.3724736635594381
0,25,7,203.73922581351846,401.42773288124147,197.62161419803783,0.5075364981666395,1.030956186853884
0,25,8,238.1450000491726,422.4832205056832,162.14617510424785,0.5636791912448724,1.46870562870856
0,25,9,320.2168791575095,350.56639130434775,221.68506396998887,0.9134272055175705,1.4444675406768026
0,25,10,522.7651947471988,600.1368260869563,370.4199153614316,0.8710766812224472,1.4112772371785645
