horizon,k_perc,round,mae_adaptive,mae_baseline,mae_flusight,mae_adaptive_baseline,mae_adaptive_flusight
0,5,2,0.38992875647668407,0.06541450777202072,0.19721502590673576,5.960891089108913,1.9771756978653536
0,5,3,0.24844262295081976,0.20234192037470727,0.07564402810304449,1.2278356481481485,3.2843653250774008
0,5,4,0.03739643084767365,0.34687699171446784,0.23836838750796685,0.10780891134588874,0.1568850267379678
0,5,5,0.0377665973969156,0.3520726238652521,0.24455867877064422,0.10726933830382084,0.15442754919499074
0,5,6,0.20536050971978412,0.4283206553540082,0.3063519927182888,0.4794550698239222,0.6703416808149405
0,5,7,0.42751203968570084,0.5474888655538256,0.4467176014773509,0.7808597883597883,0.9570073761854584
0,5,8,0.36534768768924203,0.3350844957428638,0.32996040475142985,1.0903151065801668,1.1072470588235295
0,5,9,0.014218179447052639,0.19014084507042253,0.2791471048513302,0.07477709190672129,0.0509343611305768
0,5,10,0.1407623876609182,0.09269492348797669,0.1835681321350498,1.518555519161481,0.7668127687727426
0,5,12,0.45575297432686285,0.2999373825923607,0.33001330619912334,1.5194937369519832,1.3810139341832197
0,5,13,0.5159029973558181,0.12327804589412178,0.17226012832602947,4.184873256337183,2.994906612279949
0,5,14,0.4254265840669492,0.06066731876969895,0.020715139658732746,7.012450734503761,20.536988457502623
0,5,15,0.36825046530178146,0.10763094921563414,0.015554373836745546,3.4214179841897234,23.675042735042737
0,5,16,0.3960466781680283,0.13830929982747958,0.01064418475961069,2.8634855260061185,37.20779816513761
0,5,17,0.41428840046799265,0.19392445261574462,0.034806953033595184,2.1363391510450334,11.902460984393759
0,5,18,0.3385336603979286,0.19373126192423004,0.017225402016898338,1.7474395047833426,19.653164556962025
0,5,19,0.15613970588235293,0.25375,0.03073529411764706,0.6153288901767604,5.080143540669856
0,5,20,0.16675126903553295,0.27359370143996686,0.031389205428364236,0.6094850435441118,5.312376237623761
0,5,21,0.07731054977711728,0.3573551263001486,0.08514115898959881,0.21634095634095604,0.908027923211168
0,5,22,0.04700617283950614,0.29074074074074074,0.017901234567901235,0.1616772823779192,2.625862068965515
0,5,23,0.16587572102779236,0.11955951756685894,0.13004719454640798,1.3873903508771932,1.2755040322580644
0,5,24,0.24760795278036662,0.08170239204721963,0.16060888474681578,3.0306083650190123,1.541682785299807
0,5,25,0.22318424292162498,0.12433319655313911,0.10217480508822323,1.795049504950495,2.1843373493975906
0,5,26,0.2647743467933491,0.0684085510688836,0.12256532066508313,3.8704861111111106,2.160271317829457
0,5,27,0.2836120401337792,0.0947603121516165,0.05351170568561873,2.992941176470588,5.299999999999999
0,5,28,0.41622276029055694,0.009685230024213076,0.14225181598062955,42.975,2.9259574468085106
0,5,29,0.6161458333333333,0.026348039215686275,0.10355392156862746,23.38488372093023,5.949999999999999
0,15,2,0.13222150259067364,0.06541450777202072,0.19721502590673576,2.0212871287128724,0.6704433497536949
0,15,3,0.034215456674473156,0.20234192037470727,0.07564402810304449,0.16909722222222265,0.4523219814241498
0,15,4,0.07213989802421925,0.34687699171446784,0.23836838750796685,0.20796968305006888,0.3026403743315508
0,15,5,0.05010937329104249,0.3520726238652521,0.24455867877064422,0.14232680956818933,0.2048971377459756
0,15,6,0.20942396463168841,0.4283206553540082,0.3063519927182888,0.488942015786278,0.683605687606112
0,15,7,0.428906108556324,0.5474888655538256,0.4467176014773509,0.7834060846560845,0.9601280700332333
0,15,8,0.42482208017390855,0.3350844957428638,0.32996040475142985,1.2678058387395736,1.2874941176470587
0,15,9,0.08555848982785602,0.19014084507042253,0.2791471048513302,0.44997427983539096,0.30649964961457604
0,15,10,0.18298214719455916,0.09269492348797669,0.1835681321350498,1.9740255486406815,0.9968078068144228
0,15,12,0.48728475266123983,0.2999373825923607,0.33001330619912334,1.6246216075156577,1.4765609249925884
