state,k_perc,week,wis_adaptive_ensemble2,wis_original_ensemble2
36,5,2024-11-30,537.2477726663593,627.1503366934995
36,5,2024-12-07,529.9512970462197,642.8465089517092
36,5,2024-12-14,559.3708736362577,657.9612904378716
36,5,2024-12-21,575.6070979997169,672.6412892294799
36,5,2024-12-28,573.1266847473141,689.9239282482749
36,5,2025-01-04,559.5487058592175,709.3861245527671
36,5,2025-01-11,540.945268935835,698.3722812774961
36,5,2025-01-18,540.4354240925419,694.711510505914
36,5,2025-02-01,473.705662170429,617.9979000524252
36,5,2025-02-08,401.3210951618436,540.3660650379386
36,5,2025-02-15,343.67509676376807,450.8017726985335
36,5,2025-02-22,291.2114941276097,376.2710338681546
36,5,2025-03-01,251.26715976168026,315.54779620064454
36,5,2025-03-08,216.57075921727034,266.33910094542034
36,5,2025-03-15,189.15143409486183,226.9846543033327
36,5,2025-03-22,155.38633643373123,186.6605294339127
36,5,2025-03-29,122.74963893561272,150.4984029028125
36,5,2025-04-05,107.84680333414869,129.2224812898732
36,5,2025-04-12,90.60862483160916,107.26052688388557
36,5,2025-04-19,73.29502531297653,86.16451822943026
36,5,2025-04-26,64.30955414174899,73.0103468754341
36,15,2024-11-30,538.3919721326919,627.1503366934995
36,15,2024-12-07,550.3571356312956,642.8465089517092
36,15,2024-12-14,574.7381337179029,657.9612904378716
36,15,2024-12-21,598.5563504266496,672.6412892294799
36,15,2024-12-28,607.1958031366967,689.9239282482749
36,15,2025-01-04,603.0149330143987,709.3861245527671
36,15,2025-01-11,585.0864985626756,698.3722812774961
36,15,2025-01-18,582.8241573056439,694.711510505914
36,15,2025-02-01,518.7796219688365,617.9979000524252
36,15,2025-02-08,444.46827555866827,540.3660650379386
36,15,2025-02-15,369.98078413622676,450.8017726985335
36,15,2025-02-22,311.95954585914467,376.2710338681546
36,15,2025-03-01,262.3417441474197,315.54779620064454
36,15,2025-03-08,222.32475042674332,266.33910094542034
36,15,2025-03-15,189.58816460687896,226.9846543033327
36,15,2025-03-22,153.42216044655854,186.6605294339127
36,15,2025-03-29,121.05650900190308,150.4984029028125
36,15,2025-04-05,104.09313050385595,129.2224812898732
36,15,2025-04-12,86.96731473753958,107.26052688388557
36,15,2025-04-19,70.43569801035582,86.16451822943026
36,15,2025-04-26,61.83863293954501,73.0103468754341
36,25,2024-11-30,543.0661884847401,627.1503366934995
36,25,2024-12-07,561.3861406746001,642.8465089517092
36,25,2024-12-14,585.9654916099003,657.9612904378716
36,25,2024-12-21,613.953408374484,672.6412892294799
36,25,2024-12-28,623.2643713291244,689.9239282482749
36,25,2025-01-04,625.0787112484551,709.3861245527671
36,25,2025-01-11,610.5700856904286,698.3722812774961
36,25,2025-01-18,606.7348071714582,694.711510505914
36,25,2025-02-01,539.0022238882683,617.9979000524252
36,25,2025-02-08,460.93559995433014,540.3660650379386
36,25,2025-02-15,383.4932030853063,450.8017726985335
36,25,2025-02-22,322.0630174681968,376.2710338681546
36,25,2025-03-01,269.728422036358,315.54779620064454
36,25,2025-03-08,226.69048613944773,266.33910094542034
36,25,2025-03-15,192.98492062409971,226.9846543033327
36,25,2025-03-22,156.26120102784333,186.6605294339127
36,25,2025-03-29,122.94093338349533,150.4984029028125
36,25,2025-04-05,105.58632537650301,129.2224812898732
36,25,2025-04-12,87.12211829323553,107.26052688388557
36,25,2025-04-19,69.97259392935096,86.16451822943026
36,25,2025-04-26,60.95425195614847,73.0103468754341
36,50,2024-11-30,559.9198614219744,627.1503366934995
36,50,2024-12-07,575.4601672791027,642.8465089517092
36,50,2024-12-14,594.900169657255,657.9612904378716
36,50,2024-12-21,612.3732492501506,672.6412892294799
36,50,2024-12-28,630.2679708959862,689.9239282482749
36,50,2025-01-04,649.6974498169475,709.3861245527671
36,50,2025-01-11,639.1446117044228,698.3722812774961
36,50,2025-01-18,646.1191374206736,694.711510505914
36,50,2025-02-01,568.6139514796621,617.9979000524252
36,50,2025-02-08,486.34090803334107,540.3660650379386
36,50,2025-02-15,400.5675113664693,450.8017726985335
36,50,2025-02-22,333.33766920700015,376.2710338681546
36,50,2025-03-01,280.25120124448074,315.54779620064454
36,50,2025-03-08,236.9321090215663,266.33910094542034
36,50,2025-03-15,202.25173192566973,226.9846543033327
