state,k_perc,week,mae_adaptive_ensemble2,mae_original_ensemble2
18,5,2023-11-04,0.6522198894315273,0.5687662321345708
18,5,2023-11-11,0.451069800275527,0.5669043872972249
18,5,2023-11-18,0.41443689152037877,0.5619453974318589
18,5,2023-11-25,0.4136128014060083,0.5618255609158909
18,5,2023-12-02,0.3806654011228894,0.5562506568684626
18,5,2023-12-09,0.36437253443520795,0.5574276499737698
18,5,2023-12-16,0.3601219532159803,0.5506309791160734
18,5,2023-12-23,0.35460884813326476,0.5533578058113382
18,5,2023-12-30,0.3324444904056746,0.5761858608073376
18,5,2024-01-06,0.36130537460767864,0.6104523406249062
18,5,2024-01-13,0.3683627236721452,0.6458040932823446
18,5,2024-01-20,0.39610111256053376,0.6874888764863506
18,5,2024-01-27,0.41972657458473883,0.7288304216201027
18,5,2024-02-03,0.4202882499865845,0.7628511628613213
18,5,2024-02-10,0.44343262755038515,0.7882907617857714
18,5,2024-02-17,0.48421708820255505,0.8083406566534823
18,5,2024-02-24,0.5205548414095658,0.8253965180252109
18,5,2024-03-02,0.5428061963381521,0.8379980235838304
18,5,2024-03-09,0.5878447686086298,0.8475150700103858
18,5,2024-03-16,0.5893430323199821,0.8467094074827799
18,5,2024-03-23,0.5701071115150197,0.8467422059227319
18,5,2024-03-30,0.5759280987812688,0.8606278394054561
18,5,2024-04-06,0.6157169777418068,0.861470958471942
18,5,2024-04-13,0.6393768322273751,0.8396926248467618
18,5,2024-04-20,0.6150174293822654,0.8011123454367808
18,15,2023-11-04,0.5572278911635884,0.5687662321345708
18,15,2023-11-11,0.4465981938745053,0.5669043872972249
18,15,2023-11-18,0.4204617860393732,0.5619453974318589
18,15,2023-11-25,0.42528042233510266,0.5618255609158909
18,15,2023-12-02,0.39582795347820987,0.5562506568684626
18,15,2023-12-09,0.3899245580411367,0.5574276499737698
18,15,2023-12-16,0.3856377703015261,0.5506309791160734
18,15,2023-12-23,0.37199404080051457,0.5533578058113382
18,15,2023-12-30,0.36270415994236016,0.5761858608073376
