k_perc,week,mae_adaptive_ensemble2,mae_original_ensemble2,mae_rel_original2
5,2024-11-23,0.8935902131681795,0.7661212696974639,1.1663822015032324
5,2024-11-30,0.8019262026844282,0.7677946549808624,1.0444540053543567
5,2024-12-07,0.8048092431266227,0.7703237481999302,1.0447675344389644
5,2024-12-14,0.7993132247039751,0.7737692650919223,1.0330123730218441
5,2024-12-21,0.7880338455970655,0.7787486183523141,1.011923266412205
5,2024-12-28,0.7554512616600767,0.7845166790843512,0.9629511797528661
5,2025-01-04,0.698743392162905,0.7879040484704808,0.8868381797496041
5,2025-01-11,0.5751692300455407,0.7885184353955472,0.7294302887883864
5,2025-01-18,0.5806375348628015,0.7954535066127002,0.7299452828303504
5,2025-01-25,0.5652232383067375,0.8015041018035142,0.7052031761720166
5,2025-02-01,0.5448968601640463,0.8038222924936322,0.6778822449345828
5,2025-02-08,0.5132443320724696,0.798782755400505,0.6425330649697512
5,2025-02-15,0.4887156397463506,0.7879391713977925,0.62024539137885
5,2025-02-22,0.5168908758093448,0.7798193328120285,0.6628341387041999
5,2025-03-01,0.5692232723939986,0.7770974319334506,0.7324992324035192
5,2025-03-08,0.6224374263993571,0.7807642743204538,0.7972155577188799
5,2025-03-15,0.6830897489338266,0.7942366879576728,0.8600581656462468
5,2025-03-22,0.7224046072654854,0.8190268360085458,0.8820280062934932
5,2025-03-29,0.7856597534936168,0.851458964127661,0.9227218064449448
5,2025-04-05,0.8413991958432734,0.8847631370869247,0.9509880787004455
5,2025-04-12,0.8851407950448151,0.9131652447674756,0.9693106478994429
5,2025-04-19,0.9036574837737469,0.9333243286076008,0.9682137881500281
5,2025-04-26,0.9180527515329218,0.9474730368604494,0.9689486833049996
5,2025-05-03,0.9310859949312605,0.9574763647676106,0.9724375756860012
15,2024-11-23,0.8317086208070319,0.7661212696974639,1.0856096204396832
15,2024-11-30,0.8004596420749098,0.7677946549808624,1.0425439105132368
15,2024-12-07,0.7975833211815327,0.7703237481999302,1.0353871642219286
15,2024-12-14,0.7840410261542383,0.7737692650919223,1.0132749664864185
15,2024-12-21,0.7723847648273069,0.7787486183523141,0.9918281029654062
15,2024-12-28,0.7494458365317872,0.7845166790843512,0.9552962435502367
15,2025-01-04,0.7111774032868764,0.7879040484704808,0.9026193032862948
15,2025-01-11,0.6581338873868142,0.7885184353955472,0.8346461640515384
15,2025-01-18,0.6394231917182008,0.7954535066127002,0.8038473479626393
15,2025-01-25,0.6125156202700252,0.8015041018035142,0.7642077175796926
15,2025-02-01,0.6033545919278976,0.8038222924936322,0.7506069408154382
15,2025-02-08,0.5666749345632824,0.798782755400505,0.7094230949930246
15,2025-02-15,0.5574390257340262,0.7879391713977925,0.7074645429102573
15,2025-02-22,0.5826125108463084,0.7798193328120285,0.7471121660262098
15,2025-03-01,0.6188822023319355,0.7770974319334506,0.7964023260148099
15,2025-03-08,0.6716394971809269,0.7807642743204538,0.8602333883238896
15,2025-03-15,0.7125033402916336,0.7942366879576728,0.8970919514229303
15,2025-03-22,0.7537391114013315,0.8190268360085458,0.9202862205036063
15,2025-03-29,0.8036761334687288,0.851458964127661,0.9438812289587123
15,2025-04-05,0.8444482538213706,0.8847631370869247,0.9544342642955373
15,2025-04-12,0.8740788298588459,0.9131652447674756,0.9571967777654716
15,2025-04-19,0.895656471890798,0.9333243286076008,0.9596411927105786
15,2025-04-26,0.9084800861018056,0.9474730368604494,0.9588453188199941
15,2025-05-03,0.9196994717129806,0.9574763647676106,0.9605453518805148
25,2024-11-23,0.8113245210108058,0.7661212696974639,1.059002736382965
25,2024-11-30,0.808298209650258,0.7677946549808624,1.0527531084081396
25,2024-12-07,0.8062720002466578,0.7703237481999302,1.0466664206195517
25,2024-12-14,0.7873708723694173,0.7737692650919223,1.0175783762564918
25,2024-12-21,0.7717902602989104,0.7787486183523141,0.9910646929067736
25,2024-12-28,0.749231554271887,0.7845166790843512,0.955023104347957
25,2025-01-04,0.7153059757902258,0.7879040484704808,0.9078592465399994
25,2025-01-11,0.6845864528665329,0.7885184353955472,0.8681933384640796
25,2025-01-18,0.6734484990059547,0.7954535066127002,0.8466220758441527
25,2025-01-25,0.6642071430764321,0.8015041018035142,0.828700865762082
25,2025-02-01,0.6435766769340608,0.8038222924936322,0.8006454697064266
25,2025-02-08,0.6244231750134784,0.798782755400505,0.7817183968880204
25,2025-02-15,0.6163025870853515,0.7879391713977925,0.7821702606713152
25,2025-02-22,0.6146442167423127,0.7798193328120285,0.7881879698030897
25,2025-03-01,0.6413119332282743,0.7770974319334506,0.8252657992095839
25,2025-03-08,0.6851543962679386,0.7807642743204538,0.8775432211780819
25,2025-03-15,0.7319980145053021,0.7942366879576728,0.9216371210294839
25,2025-03-22,0.7766057781190011,0.8190268360085458,0.9482055336595808
25,2025-03-29,0.8159264206916086,0.851458964127661,0.9582686366189634
25,2025-04-05,0.8588277934813847,0.8847631370869247,0.9706866815327186
25,2025-04-12,0.8899209363352814,0.9131652447674756,0.9745453426251313
25,2025-04-19,0.9211899146433017,0.9333243286076008,0.9869987167457618
25,2025-04-26,0.9426457417183902,0.9474730368604494,0.9949050844147979
